id,ahu,air,alarm,avg,bacnetConnRef,bacnetCur,bacnetHis,bacnetObjectId,bacnetPoint,bmsName,bridgeName,cmd,co2,command,connRef,cooling,count,cur,curConvert,curStatus,curVal,damper,delta,deltaTempPoint,disMacro,discharge,domestic,effective,elec,elecMeterLoad,enable,energy,entering,enum,equipName,equipRef,exhaust,fan,flow,groupRef,heat,heating,his,hisCollectCov,hisCollectInterval,hisConvert,hisEnd,hisErr,hisFunc,hisMode,hisSize,hisStart,hisStatus,hisTotalized,hot,jci,johnson,kind,lastSynced,lastTagged,leaving,linked,load,low,mixed,mixing,mode,navName,noMatch,noTagMatch,objectId,occ,occupancyIndicator,opcConnRef,opcCur,opcPoint,outside,perimeterHeat,point,pointType,power,pressure,primaryLoop,pump,quantityID,reliability,return,reversing,roomRef,run,runtime,scheduleOcc,secondaryLoop,sensor,shortName,siteRef,sourceID,sp,speed,sqlConnRef,sqlPoint,subEquipRef,tagTableRef,tags,temp,tlName,tz,unit,utilityPoint,valve,volume,water,waterMeterLoad,wifi,wifiId,zachName,zone,zones,mod
@p:ubcv:r:220b975e-9d278b65 Friedman Rm 441 VAV 3-4-01 JCL-NAE24/FCB-01.VMA-051.SAFLOW-SP,"",✓,"","",@p:ubcv:r:2093d32e-cd788d7c MEDB (NAE-24),"",TL3010625,"",✓,JCL-NAE24/FCB-01.VMA-051.SAFLOW-SP,"","","","",@p:ubcv:r:2093d32e-cd788d7c MEDB (NAE-24),"","","","","","","","","",$equipRef $bmsName,✓,"","","","","","","","","",@p:ubcv:r:220b8ce5-03ea2fb0 Friedman Rm 441 VAV 3-4-01,"","",✓,@p:ubcv:r:220b8ce4-f3738769 Friedman Floor 4,"","",✓,"","","",2020-05-12T14:40:00-07:00 Los_Angeles,"","","",79724,2018-02-05T02:45:00-08:00 Los_Angeles,ok,"","",✓,"",Number,2020-05-12T14:43:38.945-07:00 Los_Angeles,2019-04-11T16:04:14.064-07:00 Los_Angeles,"","","","","","","",Discharge Air Flow Sp,"","",AV3008129,"","","","","","","",✓,"","","","","","","","","",@p:ubcv:r:220b8ce5-7efc356b Friedman Rm 441,"","","","","","",@p:ubcv:r:2093d464-0478966f Friedman,"",✓,"","","","",@p:ubcv:r:23e65d3d-dcc151d5 .+(\.|-| )SAF(LOW)?-SP,"","",JCL-NAE24/FCB-01.VMA-051.SAFLOW-SP.Trend1,Los_Angeles,L/s,"","","","","","","",5252.AHU-03.VAV-4-01.SAFLOW-SP,"","",2020-04-09T19:02:04.057Z UTC
@p:ubcv:r:2549f11f-202913a5 Friedman Unsorted Points JCL-NAE24/FCB-01.VMA-037.SAFLOW-SP,"",✓,"","",@p:ubcv:r:2093d32e-cd788d7c MEDB (NAE-24),"",TL3009541,"",✓,JCL-NAE24/FCB-01.VMA-037.SAFLOW-SP,"","","","",@p:ubcv:r:2093d32e-cd788d7c MEDB (NAE-24),"","","","","","","","","",$equipRef $bmsName,✓,"","","","","","","","","",@p:ubcv:r:2375fcb1-58927a21 Friedman Unsorted Points,"","",✓,@p:ubcv:r:2375fcb1-c8fbbcba Friedman Unsorted Points,"","",✓,"","","",2020-05-12T14:40:00-07:00 Los_Angeles,"","","",27964,2019-10-28T03:40:00-07:00 Los_Angeles,ok,"","",✓,"",Number,2020-05-12T14:43:38.948-07:00 Los_Angeles,"","","","","","","","",Discharge Air Flow Sp,"","",AV3007924,"","","","","","","",✓,"","","","","","","","","","","","","","","","",@p:ubcv:r:2093d464-0478966f Friedman,"",✓,"","","","",@p:ubcv:r:23e65d3d-dcc151d5 .+(\.|-| )SAF(LOW)?-SP,"","",JCL-NAE24/FCB-01.VMA-037.SAFLOW-SP.Trend1,Los_Angeles,L/s,"","","","","","","",5232.AHU-01.VAV-3-03.SAFLOW-SP,"","",2020-04-09T19:02:04.058Z UTC
@p:ubcv:r:25fb83ae-9edec056 Friedman Unsorted Points JCL-NAE24/BACnet IP1.Mitsubishi VRF interface.AV-10410,"","","","",@p:ubcv:r:2093d32e-cd788d7c MEDB (NAE-24),"",TL3011418,"","",JCL-NAE24/BACnet IP1.Mitsubishi VRF interface.AV-10410,"","","","",@p:ubcv:r:2093d32e-cd788d7c MEDB (NAE-24),"","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","",@p:ubcv:r:2375fcb1-58927a21 Friedman Unsorted Points,"","","",@p:ubcv:r:2375fcb1-c8fbbcba Friedman Unsorted Points,"","",✓,"","","",2020-05-12T13:00:09-07:00 Los_Angeles,"","","",117,2020-03-10T15:48:04-07:00 Los_Angeles,ok,"","",✓,"",Number,2020-05-12T14:43:38.307-07:00 Los_Angeles,"","","","","","","","",JCL-NAE24/BACnet IP1.Mitsubishi VRF interface.AV-10410,"",✓,AV3011370,"","","","","","","",✓,"","","","","","","","","","","","","","","","",@p:ubcv:r:2093d464-0478966f Friedman,"","","","","","","","","",JCL-NAE24/BACnet IP1.Mitsubishi VRF interface.AV-10410.Trend1,Los_Angeles,°C,"","","","","","","",Return air temperature set point 0104,"","",2020-04-09T19:02:04.059Z UTC
@p:ubcv:r:220b975e-370f731d Friedman Rm 231 VAV 1-2-07 JCL-NAE24/FCB-01.VMA-025.ZN-T,"",✓,"","",@p:ubcv:r:2093d32e-cd788d7c MEDB (NAE-24),"",TL3009485,"",✓,JCL-NAE24/FCB-01.VMA-025.ZN-T,"","","","",@p:ubcv:r:2093d32e-cd788d7c MEDB (NAE-24),"","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","",@p:ubcv:r:220b8ce4-acabe0b7 Friedman Rm 231 VAV 1-2-07,"","","",@p:ubcv:r:2169839d-8ceda28a Friedman Floor 2,"","",✓,"","","",2020-05-12T14:40:00-07:00 Los_Angeles,"","","",79705,2018-02-05T02:45:00-08:00 Los_Angeles,ok,"","",✓,✓,Number,2020-05-12T14:43:38.95-07:00 Los_Angeles,2018-12-07T09:45:30.515-08:00 Los_Angeles,"","","","","","","",Zone Temp,"","",AI3007907,"","","","","","","",✓,"","","","","","","","","",@p:ubcv:r:220b8ce4-37b4f277 Friedman Rm 231,"","","","",✓,"",@p:ubcv:r:2093d464-0478966f Friedman,"","","","","","",@p:ubcv:r:23e65d3e-80cb0985 .+(\.|-| |_)(SUPRAD)?ZN(LL)?(\d+)?\w?-T,"",✓,JCL-NAE24/FCB-01.VMA-025.ZN-T.Trend1,Los_Angeles,°C,"","","","","","","",5232.AHU-01.VAV-2-07.ZN-T,✓,"",2020-04-09T19:02:04.06Z UTC
@p:ubcv:r:220b975e-8f2768d8 Friedman Rm 243 VAV 3-2-02 JCL-NAE24/FCB-01.VMA-026.HTG-O,"","","","",@p:ubcv:r:2093d32e-cd788d7c MEDB (NAE-24),"",TL3010068,"",✓,JCL-NAE24/FCB-01.VMA-026.HTG-O,"",✓,"","",@p:ubcv:r:2093d32e-cd788d7c MEDB (NAE-24),"","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","",@p:ubcv:r:220b8ce4-56bd83f4 Friedman Rm 243 VAV 3-2-02,"","","",@p:ubcv:r:2169839d-8ceda28a Friedman Floor 2,✓,✓,✓,"","","",2020-05-12T14:40:00-07:00 Los_Angeles,"","","",79825,2018-02-05T02:45:00-08:00 Los_Angeles,ok,"",✓,✓,✓,Number,2020-05-12T14:43:38.952-07:00 Los_Angeles,2018-12-07T09:45:30.516-08:00 Los_Angeles,"","","","","","","",Heating Valve Cmd,"","",AO3008019,"","","","","","","",✓,"","","","","","","","","",@p:ubcv:r:220b8ce4-ad37f61e Friedman Rm 243,"","","","","","",@p:ubcv:r:2093d464-0478966f Friedman,"","","","","","",@p:ubcv:r:23e65d3d-a3135592 .+(\.|-| |_)B?HTG-(O|VLV),"","",JCL-NAE24/FCB-01.VMA-026.HTG-O.Trend1,Los_Angeles,%,"",✓,"",✓,@p:ubcv:r:2094e280-f218ba9d Friedman HW Main Meter,"","","","","",2020-04-14T16:50:01.047Z UTC
@p:ubcv:r:220b975e-d25be866 Friedman Rm 354 VAV 3-3-05 JCL-NAE24/FCB-01.VMA-041.DPR-O,"",✓,"","",@p:ubcv:r:2093d32e-cd788d7c MEDB (NAE-24),"",TL3010540,"",✓,JCL-NAE24/FCB-01.VMA-041.DPR-O,"",✓,"",✓,@p:ubcv:r:2093d32e-cd788d7c MEDB (NAE-24),"","","","","","",✓,"","",$equipRef $bmsName,✓,"","","","","","","","","",@p:ubcv:r:220b8ce5-9af43b79 Friedman Rm 354 VAV 3-3-05,"","","",@p:ubcv:r:216983ab-5fb4d891 Friedman Floor 3,"","",✓,"","","",2020-05-12T14:40:00-07:00 Los_Angeles,"","","",79747,2018-02-06T02:45:00-08:00 Los_Angeles,ok,"","",✓,"",Number,2020-05-12T14:43:38.955-07:00 Los_Angeles,2019-04-11T16:04:13.804-07:00 Los_Angeles,"","","","","","","",Discharge Air Damper Cmd,"","",AO3008116,"","","","","","","",✓,"","","","","","","","","",@p:ubcv:r:220b8ce5-972ced2d Friedman Rm 354,"","","","","","",@p:ubcv:r:2093d464-0478966f Friedman,"","","","","","",@p:ubcv:r:23e65d3d-13728f49 .+(\.|-| )DPR(\d)?-(C|O),"","",JCL-NAE24/FCB-01.VMA-041.DPR-O.Trend1,Los_Angeles,%,"","","","","","","","","","",2020-04-14T16:50:01.285Z UTC
@p:ubcv:r:220b975d-d2b73f41 Friedman Rm 107 VAV 1-1-07 JCL-NAE24/FCB-01.VMA-009.SA-F,"",✓,"","",@p:ubcv:r:2093d32e-cd788d7c MEDB (NAE-24),"",TL3008808,"",✓,JCL-NAE24/FCB-01.VMA-009.SA-F,"","","","",@p:ubcv:r:2093d32e-cd788d7c MEDB (NAE-24),"","","","","","","","","",$equipRef $bmsName,✓,"","","","","","","","","",@p:ubcv:r:220b8ce4-5d5b4343 Friedman Rm 107 VAV 1-1-07,"","",✓,@p:ubcv:r:220b8ce4-f325dbc7 Friedman Floor 1,"","",✓,"","","",2020-05-12T14:40:00-07:00 Los_Angeles,"","","",78870,2018-02-05T02:45:00-08:00 Los_Angeles,ok,"","",✓,✓,Number,2020-05-12T14:43:38.957-07:00 Los_Angeles,2019-04-11T16:04:13.456-07:00 Los_Angeles,"","","","","","","",Discharge Air Flow,"","",AV3007765,"","","","","","","",✓,"","","","","","","","","",@p:ubcv:r:220b8ce4-ded07b79 Friedman Rm 107,"","","","",✓,"",@p:ubcv:r:2093d464-0478966f Friedman,"","","","","","",@p:ubcv:r:23e65d3d-a163c209 .+(\.|-| )(S|D)A-F,"","",JCL-NAE24/FCB-01.VMA-009.SA-F.Trend1,Los_Angeles,L/s,"","","","","","","",5232.AHU-01.VAV-1-07.SA-F,"","",2020-04-09T19:02:04.063Z UTC
@p:ubcv:r:220b975d-af215de4 Friedman Rm 107 VAV 1-1-07 JCL-NAE24/FCB-01.VMA-009.HTG-O,"","","","",@p:ubcv:r:2093d32e-cd788d7c MEDB (NAE-24),"",TL3008805,"",✓,JCL-NAE24/FCB-01.VMA-009.HTG-O,"",✓,"","",@p:ubcv:r:2093d32e-cd788d7c MEDB (NAE-24),"","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","",@p:ubcv:r:220b8ce4-5d5b4343 Friedman Rm 107 VAV 1-1-07,"","","",@p:ubcv:r:220b8ce4-f325dbc7 Friedman Floor 1,✓,✓,✓,"","","",2020-05-12T14:40:00-07:00 Los_Angeles,"","","",78829,2018-02-06T00:00:00-08:00 Los_Angeles,ok,"",✓,✓,✓,Number,2020-05-12T14:43:38.959-07:00 Los_Angeles,2018-12-07T09:45:30.425-08:00 Los_Angeles,"","","","","","","",Heating Valve Cmd,"","",AO3007762,"","","","","","","",✓,"","","","","","","","","",@p:ubcv:r:220b8ce4-ded07b79 Friedman Rm 107,"","","","","","",@p:ubcv:r:2093d464-0478966f Friedman,"","","","","","",@p:ubcv:r:23e65d3d-a3135592 .+(\.|-| |_)B?HTG-(O|VLV),"","",JCL-NAE24/FCB-01.VMA-009.HTG-O.Trend1,Los_Angeles,%,"",✓,"",✓,@p:ubcv:r:2094e280-f218ba9d Friedman HW Main Meter,"","","","","",2020-04-14T16:49:59.973Z UTC
@p:ubcv:r:2375ffb9-c25ad1be Friedman Unsorted Points JCL-NAE24/Event Rate Trend Log,"","","","",@p:ubcv:r:2093d32e-cd788d7c MEDB (NAE-24),"",TL3005429,"",✓,JCL-NAE24/Event Rate Trend Log,"","","","",@p:ubcv:r:2093d32e-cd788d7c MEDB (NAE-24),"","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","",@p:ubcv:r:2375fcb1-58927a21 Friedman Unsorted Points,"","","",@p:ubcv:r:2375fcb1-c8fbbcba Friedman Unsorted Points,"","",✓,"","","",2020-05-12T14:30:00-07:00 Los_Angeles,"","","",27396,2019-07-31T16:30:00-07:00 Los_Angeles,ok,"","",✓,"",Number,2020-05-12T14:43:38.349-07:00 Los_Angeles,2018-11-06T13:32:19.206-08:00 Los_Angeles,"","","","","","","",JCL-NAE24/Event Rate Trend Log,"",✓,"","","","","","","","",✓,"","","","","","","","","","","","","","","","",@p:ubcv:r:2093d464-0478966f Friedman,"","","","","","","",✓,"","",Los_Angeles,_,"","","","","","","","","","",2020-04-09T19:15:06.129Z UTC
@p:ubcv:r:220b975d-39765dc6 Friedman Rm 143 VAV 1-1-06 JCL-NAE24/FCB-01.VMA-016.DPR-O,"",✓,"","",@p:ubcv:r:2093d32e-cd788d7c MEDB (NAE-24),"",TL3008894,"",✓,JCL-NAE24/FCB-01.VMA-016.DPR-O,"",✓,"",✓,@p:ubcv:r:2093d32e-cd788d7c MEDB (NAE-24),"","","","","","",✓,"","",$equipRef $bmsName,✓,"","","","","","","","","",@p:ubcv:r:220b8ce4-30b0b0de Friedman Rm 143 VAV 1-1-06,"","","",@p:ubcv:r:220b8ce4-f325dbc7 Friedman Floor 1,"","",✓,"","","",2020-05-12T14:40:00-07:00 Los_Angeles,"","","",79797,2018-02-06T02:45:00-08:00 Los_Angeles,ok,"","",✓,"",Number,2020-05-12T14:43:38.961-07:00 Los_Angeles,2019-04-11T16:04:14.107-07:00 Los_Angeles,"","","","","","","",Discharge Air Damper Cmd,"","",AO3007777,"","","","","","","",✓,"","","","","","","","","",@p:ubcv:r:220b8ce4-e2ca9afb Friedman Rm 143,"","","","","","",@p:ubcv:r:2093d464-0478966f Friedman,"","","","","","",@p:ubcv:r:23e65d3d-13728f49 .+(\.|-| )DPR(\d)?-(C|O),"","",JCL-NAE24/FCB-01.VMA-016.DPR-O.Trend1,Los_Angeles,%,"","","","","","","","","","",2020-04-14T16:50:01.554Z UTC
@p:ubcv:r:220b975d-2c46bcc5 Friedman AHU-01 SF JCL-NAE24/FCB-01.FEC-006.SF-S,"",✓,"","",@p:ubcv:r:2093d32e-cd788d7c MEDB (NAE-24),"",TL3008216,"",✓,JCL-NAE24/FCB-01.FEC-006.SF-S,"","","","",@p:ubcv:r:2093d32e-cd788d7c MEDB (NAE-24),"","","","","","","","","",$equipRef $bmsName,✓,"","","",@p:ubcv:r:2094e1db-36942aa2 Friedman Elec meter,"","","","Off,On","",@p:ubcv:r:22a33b42-07c7f686 Friedman AHU-01 SF,"",✓,"",@p:ubcv:r:2203b248-8734d49f Friedman Air Systems,"","",✓,"","","",2020-05-12T14:40:00-07:00 Los_Angeles,"","","",29681,2018-01-30T10:20:45-08:00 Los_Angeles,ok,"","",✓,✓,Bool,2020-05-12T14:43:38.963-07:00 Los_Angeles,2019-03-12T13:58:10.195-07:00 Los_Angeles,"","","","","","","",Discharge Fan Run Status,"","",BI3007599,"","","","","","","",✓,"","","","","","","","","","",✓,✓,"","",✓,"",@p:ubcv:r:2093d464-0478966f Friedman,"","","","","","",@p:ubcv:r:23e65d3d-fc9f50e0 .+(\.|-| )SF(\d+)?-S(.Trend\d)?,"","",JCL-NAE24/FCB-01.FEC-006.SF-S.Trend1,Los_Angeles,"","","","","","","","",5232.AHU-01.SF-S,"","",2020-04-08T18:49:56.736Z UTC
@p:ubcv:r:220b975e-aca81c4c Friedman Rm 312 VAV 1-3-05 JCL-NAE24/FCB-01.VMA-033.SAFLOW-SP,"",✓,"","",@p:ubcv:r:2093d32e-cd788d7c MEDB (NAE-24),"",TL3009769,"",✓,JCL-NAE24/FCB-01.VMA-033.SAFLOW-SP,"","","","",@p:ubcv:r:2093d32e-cd788d7c MEDB (NAE-24),"","","","","","","","","",$equipRef $bmsName,✓,"","","","","","","","","",@p:ubcv:r:220b8ce4-9e478eef Friedman Rm 312 VAV 1-3-05,"","",✓,@p:ubcv:r:216983ab-5fb4d891 Friedman Floor 3,"","",✓,"","","",2020-05-12T14:40:00-07:00 Los_Angeles,"","","",79812,2018-02-05T02:45:00-08:00 Los_Angeles,ok,"","",✓,"",Number,2020-05-12T14:43:38.965-07:00 Los_Angeles,2019-04-11T16:04:13.805-07:00 Los_Angeles,"","","","","","","",Discharge Air Flow Sp,"","",AV3007964,"","","","","","","",✓,"","","","","","","","","",@p:ubcv:r:220b8ce4-5feec1a9 Friedman Rm 312,"","","","","","",@p:ubcv:r:2093d464-0478966f Friedman,"",✓,"","","","",@p:ubcv:r:23e65d3d-dcc151d5 .+(\.|-| )SAF(LOW)?-SP,"","",JCL-NAE24/FCB-01.VMA-033.SAFLOW-SP.Trend1,Los_Angeles,L/s,"","","","","","","",5232.AHU-01.VAV-3-05.SAFLOW-SP,"","",2020-04-09T19:02:04.067Z UTC
@p:ubcv:r:220b975e-19ee2e3a Friedman Rm 250a VAV 1-2-05 JCL-NAE24/FCB-01.VMA-024.SA-F,"",✓,"","",@p:ubcv:r:2093d32e-cd788d7c MEDB (NAE-24),"",TL3009303,"",✓,JCL-NAE24/FCB-01.VMA-024.SA-F,"","","","",@p:ubcv:r:2093d32e-cd788d7c MEDB (NAE-24),"","","","","","","","","",$equipRef $bmsName,✓,"","","","","","","","","",@p:ubcv:r:220b8ce4-00c77ffa Friedman Rm 250a VAV 1-2-05,"","",✓,@p:ubcv:r:2169839d-8ceda28a Friedman Floor 2,"","",✓,"","","",2020-05-12T14:40:00-07:00 Los_Angeles,"","","",79835,2018-02-05T02:45:00-08:00 Los_Angeles,ok,"","",✓,✓,Number,2020-05-12T14:43:38.967-07:00 Los_Angeles,2019-04-11T16:04:13.899-07:00 Los_Angeles,"","","","","","","",Discharge Air Flow,"","",AV3007869,"","","","","","","",✓,"","","","","","","","","",@p:ubcv:r:220b8ce4-dbb83254 Friedman Rm 250a,"","","","",✓,"",@p:ubcv:r:2093d464-0478966f Friedman,"","","","","","",@p:ubcv:r:23e65d3d-a163c209 .+(\.|-| )(S|D)A-F,"","",JCL-NAE24/FCB-01.VMA-024.SA-F.Trend1,Los_Angeles,L/s,"","","","","","","",5232.AHU-01.VAV-2-05.SA-F,"","",2020-04-09T19:02:04.068Z UTC
@p:ubcv:r:2549f11f-67c58992 Friedman Unsorted Points JCL-NAE24/FCB-01.FEC-006.RF-A,"",✓,✓,"",@p:ubcv:r:2093d32e-cd788d7c MEDB (NAE-24),"",TL3008223,"",✓,JCL-NAE24/FCB-01.FEC-006.RF-A,"","","","",@p:ubcv:r:2093d32e-cd788d7c MEDB (NAE-24),"","","","","","","","","",$equipRef $bmsName,"","","","","","","","","Normal,Alarm","",@p:ubcv:r:2375fcb1-58927a21 Friedman Unsorted Points,"",✓,"",@p:ubcv:r:2375fcb1-c8fbbcba Friedman Unsorted Points,"","",✓,"","","",2020-05-12T14:40:00-07:00 Los_Angeles,"","","",27964,2019-10-28T03:40:00-07:00 Los_Angeles,ok,"","",✓,"",Bool,2020-05-12T14:43:38.969-07:00 Los_Angeles,"","","","","","","","",Return Fan Alarm,"","",BI3007604,"","","","","","","",✓,"","","","","","","",✓,"","","","","","","","",@p:ubcv:r:2093d464-0478966f Friedman,"","","","","","",@p:ubcv:r:258695ef-6eade023 .+(\.|-| |_)RF-A,"","",JCL-NAE24/FCB-01.FEC-006.RF-A.Trend1,Los_Angeles,"","","","","","","","",5232.AHU-01.RF-A,"","",2020-04-08T18:49:56.998Z UTC
@p:ubcv:r:2549f11f-e361e353 Friedman Unsorted Points JCL-NAE24/Programming.PHW West.West shut down reheat.Trend1,"","","","",@p:ubcv:r:2093d32e-cd788d7c MEDB (NAE-24),"",TL3010881,"",✓,JCL-NAE24/Programming.PHW West.West shut down reheat.Trend1,"","","","",@p:ubcv:r:2093d32e-cd788d7c MEDB (NAE-24),"","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","",@p:ubcv:r:2375fcb1-58927a21 Friedman Unsorted Points,"","","",@p:ubcv:r:2375fcb1-c8fbbcba Friedman Unsorted Points,"","",✓,"","","",2020-05-12T14:30:00-07:00 Los_Angeles,"","","",18716,2019-10-27T23:45:00-07:00 Los_Angeles,ok,"","",✓,"",Number,2020-05-12T14:43:38.352-07:00 Los_Angeles,"","","","","","","","",JCL-NAE24/Programming.PHW West.West shut down reheat.Trend1,"",✓,"","","","","","","","",✓,"","","","","","","","","","","","","","","","",@p:ubcv:r:2093d464-0478966f Friedman,"","","","","","","","","","",Los_Angeles,_,"","","","","","","","","","",2020-04-09T19:15:06.132Z UTC
@p:ubcv:r:220b975e-db5b9235 Friedman Rm 422 VAV 1-4-06 JCL-NAE24/FCB-01.VMA-046.SA-F,"",✓,"","",@p:ubcv:r:2093d32e-cd788d7c MEDB (NAE-24),"",TL3009898,"",✓,JCL-NAE24/FCB-01.VMA-046.SA-F,"","","","",@p:ubcv:r:2093d32e-cd788d7c MEDB (NAE-24),"","","","","","","","","",$equipRef $bmsName,✓,"","","","","","","","","",@p:ubcv:r:220b8ce4-2ada3325 Friedman Rm 422 VAV 1-4-06,"","",✓,@p:ubcv:r:220b8ce4-f3738769 Friedman Floor 4,"","",✓,"","","",2020-05-12T14:40:00-07:00 Los_Angeles,"","","",79834,2018-02-05T02:45:00-08:00 Los_Angeles,ok,"","",✓,✓,Number,2020-05-12T14:43:38.971-07:00 Los_Angeles,2019-04-11T16:04:13.387-07:00 Los_Angeles,"","","","","","","",Discharge Air Flow,"","",AV3007991,"","","","","","","",✓,"","","","","","","","","",@p:ubcv:r:220b8ce4-6843d924 Friedman Rm 422,"","","","",✓,"",@p:ubcv:r:2093d464-0478966f Friedman,"","","","","","",@p:ubcv:r:23e65d3d-a163c209 .+(\.|-| )(S|D)A-F,"","",JCL-NAE24/FCB-01.VMA-046.SA-F.Trend1,Los_Angeles,L/s,"","","","","","","",5232.AHU-01.VAV-4-06.SA-F,"","",2020-04-09T19:02:04.07Z UTC
@p:ubcv:r:220b975e-ff49d18e Friedman Rm 412 VAV 1-4-05 JCL-NAE24/FCB-01.VMA-047.RAD-O,"","","","",@p:ubcv:r:2093d32e-cd788d7c MEDB (NAE-24),"",TL3009852,"",✓,JCL-NAE24/FCB-01.VMA-047.RAD-O,"",✓,"","",@p:ubcv:r:2093d32e-cd788d7c MEDB (NAE-24),"","","","","","","","","",$equipRef $bmsName,"","","","","","","","","","",@p:ubcv:r:220b8ce4-145d425a Friedman Rm 412 VAV 1-4-05,"","","",@p:ubcv:r:220b8ce4-f3738769 Friedman Floor 4,"","",✓,"","","",2020-05-12T14:40:00-07:00 Los_Angeles,"","","",79649,2018-02-06T00:00:00-08:00 Los_Angeles,ok,"","",✓,✓,Number,2020-05-12T14:43:38.973-07:00 Los_Angeles,2018-12-07T09:45:30.591-08:00 Los_Angeles,"","","","","","","",Baseboard Radiation Cmd,"","",AO3007982,"","","","","","",✓,✓,"","","","","","","","","",@p:ubcv:r:220b8ce4-36f026b6 Friedman Rm 412,"","","","","","",@p:ubcv:r:2093d464-0478966f Friedman,"","","","","","",@p:ubcv:r:23e65d3d-090873f2 .+(\.|-| )(SUP)?RAD-O,"","",JCL-NAE24/FCB-01.VMA-047.RAD-O.Trend1,Los_Angeles,%,"","","","","","","","","","",2020-04-14T16:50:02.655Z UTC
@p:ubcv:r:220b975d-d2342644 Friedman Rm 143 VAV 1-1-06 JCL-NAE24/FCB-01.VMA-016.SA-F,"",✓,"","",@p:ubcv:r:2093d32e-cd788d7c MEDB (NAE-24),"",TL3008896,"",✓,JCL-NAE24/FCB-01.VMA-016.SA-F,"","","","",@p:ubcv:r:2093d32e-cd788d7c MEDB (NAE-24),"","","","","","","","","",$equipRef $bmsName,✓,"","","","","","","","","",@p:ubcv:r:220b8ce4-30b0b0de Friedman Rm 143 VAV 1-1-06,"","",✓,@p:ubcv:r:220b8ce4-f325dbc7 Friedman Floor 1,"","",✓,"","","",2020-05-12T14:40:00-07:00 Los_Angeles,"","","",79785,2018-02-05T02:45:00-08:00 Los_Angeles,ok,"","",✓,✓,Number,2020-05-12T14:43:38.976-07:00 Los_Angeles,2019-04-11T16:04:13.473-07:00 Los_Angeles,"","","","","","","",Discharge Air Flow,"","",AV3007779,"","","","","","","",✓,"","","","","","","","","",@p:ubcv:r:220b8ce4-e2ca9afb Friedman Rm 143,"","","","",✓,"",@p:ubcv:r:2093d464-0478966f Friedman,"","","","","","",@p:ubcv:r:23e65d3d-a163c209 .+(\.|-| )(S|D)A-F,"","",JCL-NAE24/FCB-01.VMA-016.SA-F.Trend1,Los_Angeles,L/s,"","","","","","","",5232.AHU-01.VAV-1-06.SA-F,"","",2020-04-09T19:02:04.072Z UTC
@p:ubcv:r:220b975e-4006a6bd Friedman Rm 250a VAV 1-2-05 JCL-NAE24/FCB-01.VMA-024.DPR-O,"",✓,"","",@p:ubcv:r:2093d32e-cd788d7c MEDB (NAE-24),"",TL3009302,"",✓,JCL-NAE24/FCB-01.VMA-024.DPR-O,"",✓,"",✓,@p:ubcv:r:2093d32e-cd788d7c MEDB (NAE-24),"","","","","","",✓,"","",$equipRef $bmsName,✓,"","","","","","","","","",@p:ubcv:r:220b8ce4-00c77ffa Friedman Rm 250a VAV 1-2-05,"","","",@p:ubcv:r:2169839d-8ceda28a Friedman Floor 2,"","",✓,"","","",2020-05-12T14:40:00-07:00 Los_Angeles,"","","",79644,2018-02-06T00:00:00-08:00 Los_Angeles,ok,"","",✓,"",Number,2020-05-12T14:43:38.978-07:00 Los_Angeles,2019-04-11T16:04:13.5-07:00 Los_Angeles,"","","","","","","",Discharge Air Damper Cmd,"","",AO3007868,"","","","","","","",✓,"","","","","","","","","",@p:ubcv:r:220b8ce4-dbb83254 Friedman Rm 250a,"","","","","","",@p:ubcv:r:2093d464-0478966f Friedman,"","","","","","",@p:ubcv:r:23e65d3d-13728f49 .+(\.|-| )DPR(\d)?-(C|O),"","",JCL-NAE24/FCB-01.VMA-024.DPR-O.Trend1,Los_Angeles,%,"","","","","","","","","","",2020-04-14T16:50:00.769Z UTC
