,uniqueId_nounit,id,firstdate,time,groupRef_influx,equipRef_fix,equipRef_influx,navName_influx,siteRef,typeRef,unit_sspark,unit_influx,kind
338,Pharmacy Rm 6203G EF-13 Pharmacy Floor 6 Alarm Pharmacy EF_13_FAIL_AL_BV,@p:ubcv:r:236c8ab6-0584eebc Pharmacy Rm 6203G EF-13 EF_13_FAIL_AL_BV,2018-12-20,2018-12-20 20:35:24,Pharmacy Floor 6,Pharmacy Rm 6203G EF-13,Pharmacy Rm 6203G EF-13,Alarm,@p:ubcv:r:20545206-9300bfc5 Pharmacy,EF_13_FAIL_AL_BV,,_,Bool
339,Pharmacy FC-R06 Pharmacy Roof Discharge Fan Run Cmd Pharmacy FCU_R06_C,@p:ubcv:r:236c8b27-8b88d170 Pharmacy FC-R06 FCU_R06_C,2019-12-10,2019-12-10 15:30:48,Pharmacy Roof,Pharmacy FC-R06,FC-R06,Discharge Fan Run Cmd,@p:ubcv:r:20545206-9300bfc5 Pharmacy,FCU_R06_C,,_,Bool
340,Pharmacy Heating Plant HX-3 P-HX3B Pharmacy Hydronic Systems Alarm Pharmacy HX3_PHX3B_AL,@p:ubcv:r:236c8fec-f1f9f926 Pharmacy Heating Plant HX-3 P-HX3B HX3_PHX3B_AL,2018-12-20,2018-12-20 20:32:51,Pharmacy Hydronic Systems,Pharmacy Heating Plant HX-3 P-HX3B,Heating Plant HX-3 P-HX3B,Alarm,@p:ubcv:r:20545206-9300bfc5 Pharmacy,HX3_PHX3B_AL,,_,Bool
341,Pharmacy EF-106 Pharmacy Air Systems Exhaust Fan Run Cmd Pharmacy EF_106_C,@p:ubcv:r:2391c062-ebad1ae6 Pharmacy EF-106 EF_106_C,2020-01-07,2020-01-07 14:00:23,Pharmacy Air Systems,Pharmacy EF-106,EF-106,Exhaust Fan Run Cmd,@p:ubcv:r:20545206-9300bfc5 Pharmacy,EF_106_C,,omit,Bool
342,Pharmacy Rm 3315 VAV-3S045 Pharmacy Floor 3 Operation Mode Pharmacy VAV_3S045_OperationMode,@p:ubcv:r:2391c6b1-bfd301ea Pharmacy Rm 3315 VAV-3S045 VAV_3S045_OperationMode,2019-11-19,2019-11-19 14:00:02,Pharmacy Floor 3,Pharmacy Rm 3315 VAV-3S045,Pharmacy Rm 3315 VAV-3S045,Operation Mode,@p:ubcv:r:20545206-9300bfc5 Pharmacy,VAV_3S045_OperationMode,,omit,Str
343,Pharmacy Rm 3202 VAV-3S016 Pharmacy Floor 3 Operation Mode Pharmacy VAV_3S016_OperationMode,@p:ubcv:r:2391bcf8-67ac9209 Pharmacy Rm 3202 VAV-3S016 VAV_3S016_OperationMode,2020-01-07,2020-01-07 15:30:36,Pharmacy Floor 3,Pharmacy Rm 3202 VAV-3S016,Rm 3202 VAV-3S016,Operation Mode,@p:ubcv:r:20545206-9300bfc5 Pharmacy,VAV_3S016_OperationMode,,omit,Str
344,Pharmacy Rm Corr FC-307 Pharmacy Floor 3 FCU_307_NSB_HTG_BV Pharmacy FCU_307_NSB_HTG_BV,@p:ubcv:r:236c8fbe-65fffe57 Pharmacy Rm Corr FC-307 FCU_307_NSB_HTG_BV,2018-12-28,2018-12-28 13:59:59,Pharmacy Floor 3,Pharmacy Rm Corr FC-307,Rm Corr FC-307,FCU_307_NSB_HTG_BV,@p:ubcv:r:20545206-9300bfc5 Pharmacy,FCU_307_NSB_HTG_BV,,_,Bool
345,Pharmacy Rm 2104 VAV-2S004 Pharmacy Floor 2 Discharge Air Damper Close Cmd Pharmacy VAV_2S004_Dmp_Close,@p:ubcv:r:2391bbd7-86516347 Pharmacy Rm 2104 VAV-2S004 VAV_2S004_Dmp_Close,2020-01-07,2020-01-07 17:39:12,Pharmacy Floor 2,Pharmacy Rm 2104 VAV-2S004,Rm 2104 VAV-2S004,Discharge Air Damper Close Cmd,@p:ubcv:r:20545206-9300bfc5 Pharmacy,VAV_2S004_Dmp_Close,,omit,Bool
346,Pharmacy Rm 5206 EAV-5E037 Pharmacy Floor 5 Flow Alarm Pharmacy 5E037_FLOW_ALARM_BV,@p:ubcv:r:236c8a04-cee92e00 Pharmacy Rm 5206 EAV-5E037 5E037_FLOW_ALARM_BV,2019-09-20,2019-09-20 07:40:55,Pharmacy Floor 5,Pharmacy Rm 5206 EAV-5E037,Rm 5206 EAV-5E037,Flow Alarm,@p:ubcv:r:20545206-9300bfc5 Pharmacy,5E037_FLOW_ALARM_BV,,_,Bool
347,Pharmacy Rm 5204 FC-505 Pharmacy Floor 5 Discharge Fan Run Cmd Pharmacy FCU_505_C,@p:ubcv:r:2391bdea-6c869571 Pharmacy Rm 5204 FC-505 FCU_505_C,2019-01-25,2019-01-25 16:08:15,Pharmacy Floor 5,Pharmacy Rm 5204 FC-505,Rm 5204 FC-505,Discharge Fan Run Cmd,@p:ubcv:r:20545206-9300bfc5 Pharmacy,FCU_505_C,,omit,Bool
348,Pharmacy Rm 4211b VAV-4S013 Pharmacy Floor 4 Exhaust Air Flow Alarm Pharmacy 4S013_4E013_EXH_FLOW_ALARM_BV,@p:ubcv:r:236c89f8-83c8e8b6 Pharmacy Rm 4211b VAV-4S013 4S013_4E013_EXH_FLOW_ALARM_BV,2019-09-20,2019-09-20 07:28:29,Pharmacy Floor 4,Pharmacy Rm 4211b VAV-4S013,Rm 4211b VAV-4S013,Exhaust Air Flow Alarm,@p:ubcv:r:20545206-9300bfc5 Pharmacy,4S013_4E013_EXH_FLOW_ALARM_BV,,_,Bool
349,Pharmacy LEF-2 EF-2A Pharmacy Air Systems Exhaust Fan Run  Pharmacy EF2_F1_STATUS,@p:ubcv:r:236c8a57-57573725 Pharmacy LEF-2 EF-2A EF2_F1_STATUS,2020-01-17,2020-01-17 23:30:00,Pharmacy Air Systems,Pharmacy LEF-2 EF-2A,LEF-2 EF-2A,Exhaust Fan Run ,@p:ubcv:r:20545206-9300bfc5 Pharmacy,EF2_F1_STATUS,,_,Bool
350,Pharmacy Rm 6203b VAV-6S027 Pharmacy Floor 6 Exhaust Air Flow Alarm Pharmacy 6S027_6E034_EXH_FLOW_ALARM_BV,@p:ubcv:r:236c89f8-1454f270 Pharmacy Rm 6203b VAV-6S027 6S027_6E034_EXH_FLOW_ALARM_BV,2019-09-20,2019-09-20 07:25:09,Pharmacy Floor 6,Pharmacy Rm 6203b VAV-6S027,Rm 6203b VAV-6S027,Exhaust Air Flow Alarm,@p:ubcv:r:20545206-9300bfc5 Pharmacy,6S027_6E034_EXH_FLOW_ALARM_BV,,_,Bool
351,Pharmacy Heating Plant SBLR-6 Pharmacy Hydronic Systems PHARM_SB6_ACTUATOR_COMM_ERROR Pharmacy PHARM_SB6_ACTUATOR_COMM_ERROR,@p:ubcv:r:236c89d4-1358e55d Pharmacy Heating Plant SBLR-6 PHARM_SB6_ACTUATOR_COMM_ERROR,2018-10-30,2018-10-30 21:12:01,Pharmacy Hydronic Systems,Pharmacy Heating Plant SBLR-6,Heating Plant SBLR-6,PHARM_SB6_ACTUATOR_COMM_ERROR,@p:ubcv:r:20545206-9300bfc5 Pharmacy,PHARM_SB6_ACTUATOR_COMM_ERROR,,omit,Bool
352,Pharmacy Cooling Plant Pharmacy Hydronic Systems CHWP_P5_LEAD1_PUMP_FAULT Pharmacy CHWP_P5_LEAD1_PUMP_FAULT,@p:ubcv:r:226cf1e9-a6f279bf Pharmacy Cooling Plant CHWP_P5_LEAD1_PUMP_FAULT,2018-07-17,2018-07-17 16:07:00,Pharmacy Hydronic Systems,Pharmacy Cooling Plant,Cooling Plant,CHWP_P5_LEAD1_PUMP_FAULT,@p:ubcv:r:20545206-9300bfc5 Pharmacy,CHWP_P5_LEAD1_PUMP_FAULT,,°C,Bool
353,Pharmacy Rm B307 EAV-BS083 Pharmacy Floor 0 Exhaust Air Flow Alarm Pharmacy BS083_EXH_FLOW_AL_BV,@p:ubcv:r:236c8a4c-fa6c167a Pharmacy Rm B307 EAV-BS083 BS083_EXH_FLOW_AL_BV,2018-12-20,2018-12-20 22:31:31,Pharmacy Floor 0,Pharmacy Rm B307 EAV-BS083,Rm B307 EAV-BS083,Exhaust Air Flow Alarm,@p:ubcv:r:20545206-9300bfc5 Pharmacy,BS083_EXH_FLOW_AL_BV,,_,Bool
354,Pharmacy Rm B605 EF-35 Pharmacy Floor 0 Alarm Pharmacy EF_35_FAIL_AL_BV,@p:ubcv:r:236c8a57-8335e0dd Pharmacy Rm B605 EF-35 EF_35_FAIL_AL_BV,2019-11-27,2019-11-27 22:34:07,Pharmacy Floor 0,Pharmacy Rm B605 EF-35,Rm B605 EF-35,Alarm,@p:ubcv:r:20545206-9300bfc5 Pharmacy,EF_35_FAIL_AL_BV,,_,Bool
355,Pharmacy Rm B406b EAV-BS074 Pharmacy Floor 0 Alarm Pharmacy BS074_CAGE_EXH_VLV_STA_FLO_AL_BV,@p:ubcv:r:236c8a40-1b1452aa Pharmacy Rm B406b EAV-BS074 BS074_CAGE_EXH_VLV_STA_FLO_AL_BV,2019-03-21,2019-03-21 14:11:57,Pharmacy Floor 0,Pharmacy Rm B406b EAV-BS074,Rm B406b EAV-BS074,Alarm,@p:ubcv:r:20545206-9300bfc5 Pharmacy,BS074_CAGE_EXH_VLV_STA_FLO_AL_BV,,_,Bool
356,Pharmacy Cooling Plant Pharmacy Hydronic Systems CHWP_P9_LAG_PUMP_FAULT Pharmacy CHWP_P9_LAG_PUMP_FAULT,@p:ubcv:r:226cf1e9-b6cac3a9 Pharmacy Cooling Plant CHWP_P9_LAG_PUMP_FAULT,2018-12-20,2018-12-20 20:32:54,Pharmacy Hydronic Systems,Pharmacy Cooling Plant,Cooling Plant,CHWP_P9_LAG_PUMP_FAULT,@p:ubcv:r:20545206-9300bfc5 Pharmacy,CHWP_P9_LAG_PUMP_FAULT,,_,Bool
357,Pharmacy Heating Plant Pharmacy Hydronic Systems HTREJ_P4_HTG_CALL Pharmacy HTREJ_P4_HTG_CALL,@p:ubcv:r:236c8fec-3d6eb05e Pharmacy Heating Plant HTREJ_P4_HTG_CALL,2019-09-29,2019-09-29 01:15:20,Pharmacy Hydronic Systems,Pharmacy Heating Plant,Heating Plant,HTREJ_P4_HTG_CALL,@p:ubcv:r:20545206-9300bfc5 Pharmacy,HTREJ_P4_HTG_CALL,,kPa,Bool
358,Pharmacy AHU-09 Pharmacy Air Systems AHU9_SMOKE_MODE Pharmacy AHU9_SMOKE_MODE,@p:ubcv:r:236c8a99-418f8d0b Pharmacy AHU-09 AHU9_SMOKE_MODE,2019-06-13,2019-06-13 05:09:50,Pharmacy Air Systems,Pharmacy AHU-09,AHU-09,AHU9_SMOKE_MODE,@p:ubcv:r:20545206-9300bfc5 Pharmacy,AHU9_SMOKE_MODE,,_,Bool
359,Pharmacy Rm 3102 VAV-3S031 Pharmacy Floor 3 Discharge Air Damper Open Cmd Pharmacy VAV_3S031_Dmp_Open,@p:ubcv:r:236c8e81-dcea963b Pharmacy Rm 3102 VAV-3S031 VAV_3S031_Dmp_Open,2020-01-07,2020-01-07 19:11:52,Pharmacy Floor 3,Pharmacy Rm 3102 VAV-3S031,Rm 3102 VAV-3S031,Discharge Air Damper Open Cmd,@p:ubcv:r:20545206-9300bfc5 Pharmacy,VAV_3S031_Dmp_Open,,_,Bool
360,Pharmacy Rm 3128 VAV-3S024 Pharmacy Floor 3 Operation Mode Pharmacy VAV_3S024_OperationMode,@p:ubcv:r:236c8e57-44352140 Pharmacy Rm 3128 VAV-3S024 VAV_3S024_OperationMode,2020-01-02,2020-01-02 08:00:11,Pharmacy Floor 3,Pharmacy Rm 3128 VAV-3S024,Rm 3128 VAV-3S024,Operation Mode,@p:ubcv:r:20545206-9300bfc5 Pharmacy,VAV_3S024_OperationMode,,_,Str
361,Pharmacy Rm 3201 VAV-3S018 Pharmacy Floor 3 Discharge Air Damper Close Cmd Pharmacy VAV_3S018_Dmp_Close,@p:ubcv:r:2391bcad-7c2b62ee Pharmacy Rm 3201 VAV-3S018 VAV_3S018_Dmp_Close,2020-01-07,2020-01-07 20:10:47,Pharmacy Floor 3,Pharmacy Rm 3201 VAV-3S018,Rm 3201 VAV-3S018,Discharge Air Damper Close Cmd,@p:ubcv:r:20545206-9300bfc5 Pharmacy,VAV_3S018_Dmp_Close,,omit,Bool
362,Pharmacy Heating Plant SBLR-6 Pharmacy Hydronic Systems PHARM_SB6_LOW_WATER Pharmacy PHARM_SB6_LOW_WATER,@p:ubcv:r:236c89d4-41e92861 Pharmacy Heating Plant SBLR-6 PHARM_SB6_LOW_WATER,2019-10-26,2019-10-26 16:28:13,Pharmacy Hydronic Systems,Pharmacy Heating Plant SBLR-6,Heating Plant SBLR-6,PHARM_SB6_LOW_WATER,@p:ubcv:r:20545206-9300bfc5 Pharmacy,PHARM_SB6_LOW_WATER,,%,Bool
363,Pharmacy AHU-01 Pharmacy Air Systems Alarm Pharmacy AHU1_OAD_FAIL_AL_BV,@p:ubcv:r:236c8a99-0c9e9682 Pharmacy AHU-01 AHU1_OAD_FAIL_AL_BV,2019-02-06,2019-02-06 13:03:49,Pharmacy Air Systems,Pharmacy AHU-01,AHU-01,Alarm,@p:ubcv:r:20545206-9300bfc5 Pharmacy,AHU1_OAD_FAIL_AL_BV,,omit,Bool
364,Pharmacy Rm 3302 VAV-3S042 Pharmacy Floor 3 Discharge Air Damper Close Cmd Pharmacy VAV_3S042_Dmp_Close,@p:ubcv:r:2391c67d-edf93195 Pharmacy Rm 3302 VAV-3S042 VAV_3S042_Dmp_Close,2020-01-07,2020-01-07 21:55:01,Pharmacy Floor 3,Pharmacy Rm 3302 VAV-3S042,Rm 3302 VAV-3S042,Discharge Air Damper Close Cmd,@p:ubcv:r:20545206-9300bfc5 Pharmacy,VAV_3S042_Dmp_Close,,omit,Bool
365,Pharmacy AHU-16 Pharmacy Air Systems Alarm Pharmacy AHU16_ISOD_FAIL_AL_BV,@p:ubcv:r:236c8a6b-777e2dcb Pharmacy AHU-16 AHU16_ISOD_FAIL_AL_BV,2019-06-11,2019-06-11 18:12:04,Pharmacy Air Systems,Pharmacy AHU-16,AHU-16,Alarm,@p:ubcv:r:20545206-9300bfc5 Pharmacy,AHU16_ISOD_FAIL_AL_BV,,_,Bool
366,Pharmacy AHU-05 SF Pharmacy Air Systems AHU5_SF_VFD_COMM_ALRM_GV Pharmacy AHU5_SF_VFD_COMM_ALRM_GV,@p:ubcv:r:236c8fd4-77935dbd Pharmacy AHU-05 SF AHU5_SF_VFD_COMM_ALRM_GV,2019-02-12,2019-02-12 16:33:18,Pharmacy Air Systems,Pharmacy AHU-05 SF,AHU-05 SF,AHU5_SF_VFD_COMM_ALRM_GV,@p:ubcv:r:20545206-9300bfc5 Pharmacy,AHU5_SF_VFD_COMM_ALRM_GV,,_,Bool
367,Pharmacy Heating Plant HX-3 Pharmacy Hydronic Systems HX3_P3_LAG_PUMP_FAIL_2_START Pharmacy HX3_P3_LAG_PUMP_FAIL_2_START,@p:ubcv:r:236c8feb-f14ecb10 Pharmacy Heating Plant HX-3 HX3_P3_LAG_PUMP_FAIL_2_START,2019-09-03,2019-09-03 16:31:59,Pharmacy Hydronic Systems,Pharmacy Heating Plant HX-3,Heating Plant HX-3,HX3_P3_LAG_PUMP_FAIL_2_START,@p:ubcv:r:20545206-9300bfc5 Pharmacy,HX3_P3_LAG_PUMP_FAIL_2_START,,_,Bool
368,Pharmacy Rm 6102a VAV-6S004 Pharmacy Floor 6 Discharge Air Flow Alarm Pharmacy 6S004_6E005_SUP_FLOW_ALARM_BV,@p:ubcv:r:236c89f8-9b92ad2f Pharmacy Rm 6102a VAV-6S004 6S004_6E005_SUP_FLOW_ALARM_BV,2019-10-23,2019-10-23 20:03:25,Pharmacy Floor 6,Pharmacy Rm 6102a VAV-6S004,Rm 6102a VAV-6S004,Discharge Air Flow Alarm,@p:ubcv:r:20545206-9300bfc5 Pharmacy,6S004_6E005_SUP_FLOW_ALARM_BV,,_,Bool
369,Pharmacy Rm 5310d VAV-5S044 Pharmacy Floor 5 Exhaust Air Flow Alarm Pharmacy 5S044_5E012_EXH_FLOW_ALARM_BV,@p:ubcv:r:236c89f8-fac49c52 Pharmacy Rm 5310d VAV-5S044 5S044_5E012_EXH_FLOW_ALARM_BV,2019-06-11,2019-06-11 19:43:45,Pharmacy Floor 5,Pharmacy Rm 5310d VAV-5S044,Rm 5310d VAV-5S044,Exhaust Air Flow Alarm,@p:ubcv:r:20545206-9300bfc5 Pharmacy,5S044_5E012_EXH_FLOW_ALARM_BV,,_,Bool
370,Pharmacy Rm B204h EAV-BS016 Pharmacy Floor 0 Exhaust Air Flow Alarm Pharmacy BS016_EXH_FLOW_AL_BV,@p:ubcv:r:236c8a4d-2b2d262a Pharmacy Rm B204h EAV-BS016 BS016_EXH_FLOW_AL_BV,2018-12-20,2018-12-20 22:31:04,Pharmacy Floor 0,Pharmacy Rm B204h EAV-BS016,Rm B204h EAV-BS016,Exhaust Air Flow Alarm,@p:ubcv:r:20545206-9300bfc5 Pharmacy,BS016_EXH_FLOW_AL_BV,,_,Bool
371,Pharmacy Heating Plant P-8B Pharmacy Hydronic Systems Water Flow Pharmacy HTREJ_P8B_FLW,@p:ubcv:r:236c8fec-ed8a232a Pharmacy Heating Plant P-8B HTREJ_P8B_FLW,2020-01-07,2020-01-07 17:27:01,Pharmacy Hydronic Systems,Pharmacy Heating Plant P-8B,Heating Plant P-8B,Water Flow,@p:ubcv:r:20545206-9300bfc5 Pharmacy,HTREJ_P8B_FLW,,_,Bool
372,Pharmacy Rm 5202 EAV-5E073 Pharmacy Floor 5 Flow Alarm Pharmacy 5E073_FLOW_ALARM_BV,@p:ubcv:r:236c8a04-4c22589d Pharmacy Rm 5202 EAV-5E073 5E073_FLOW_ALARM_BV,2019-09-20,2019-09-20 07:40:55,Pharmacy Floor 5,Pharmacy Rm 5202 EAV-5E073,Rm 5202 EAV-5E073,Flow Alarm,@p:ubcv:r:20545206-9300bfc5 Pharmacy,5E073_FLOW_ALARM_BV,,_,Bool
373,Pharmacy Rm B020 EAV-BS089 Pharmacy Floor 0 Exhaust Air Flow Alarm Pharmacy BS089_EXH_FLOW_AL_BV,@p:ubcv:r:236c8a4c-c6d71841 Pharmacy Rm B020 EAV-BS089 BS089_EXH_FLOW_AL_BV,2018-12-20,2018-12-20 22:31:11,Pharmacy Floor 0,Pharmacy Rm B020 EAV-BS089,Rm B020 EAV-BS089,Exhaust Air Flow Alarm,@p:ubcv:r:20545206-9300bfc5 Pharmacy,BS089_EXH_FLOW_AL_BV,,omit,Bool
374,Pharmacy Rm 6202 VAV-6S023 Pharmacy Floor 6 Discharge Air Flow Alarm Pharmacy 6S023_6E027_SUP_FLOW_ALARM_BV,@p:ubcv:r:236c89f8-23474513 Pharmacy Rm 6202 VAV-6S023 6S023_6E027_SUP_FLOW_ALARM_BV,2019-11-21,2019-11-21 21:08:06,Pharmacy Floor 6,Pharmacy Rm 6202 VAV-6S023,Rm 6202 VAV-6S023,Discharge Air Flow Alarm,@p:ubcv:r:20545206-9300bfc5 Pharmacy,6S023_6E027_SUP_FLOW_ALARM_BV,,_,Bool
375,Pharmacy Heating Plant SBLR-5 Pharmacy Hydronic Systems PHARM_SB5_PURGE Pharmacy PHARM_SB5_PURGE,@p:ubcv:r:236c89d4-7819487d Pharmacy Heating Plant SBLR-5 PHARM_SB5_PURGE,2020-01-07,2020-01-07 15:19:53,Pharmacy Hydronic Systems,Pharmacy Heating Plant SBLR-5,Heating Plant SBLR-5,PHARM_SB5_PURGE,@p:ubcv:r:20545206-9300bfc5 Pharmacy,PHARM_SB5_PURGE,,_,Bool
376,Pharmacy Rm 2301 VAV-2S025 Pharmacy Floor 2 Discharge Air Damper Open Cmd Pharmacy VAV_2S025_Dmp_Open,@p:ubcv:r:2391c3c3-29b5448f Pharmacy Rm 2301 VAV-2S025 VAV_2S025_Dmp_Open,2020-01-07,2020-01-07 19:47:06,Pharmacy Floor 2,Pharmacy Rm 2301 VAV-2S025,Rm 2301 VAV-2S025,Discharge Air Damper Open Cmd,@p:ubcv:r:20545206-9300bfc5 Pharmacy,VAV_2S025_Dmp_Open,,omit,Bool
377,Pharmacy Rm 5118 VAV-5S013 Pharmacy Floor 5 Discharge Air Damper Open Cmd Pharmacy VAV_5S013_Dmp_Open,@p:ubcv:r:236c8cc0-6da1c3df Pharmacy Rm 5118 VAV-5S013 VAV_5S013_Dmp_Open,2020-01-07,2020-01-07 19:04:43,Pharmacy Floor 5,Pharmacy Rm 5118 VAV-5S013,Rm 5118 VAV-5S013,Discharge Air Damper Open Cmd,@p:ubcv:r:20545206-9300bfc5 Pharmacy,VAV_5S013_Dmp_Open,,_,Bool
378,Pharmacy Cooling Plant Pharmacy Hydronic Systems CT_SYSTEM_ENABLE_BV Pharmacy CT_SYSTEM_ENABLE_BV,@p:ubcv:r:236c8acd-26215f9f Pharmacy Cooling Plant CT_SYSTEM_ENABLE_BV,2020-01-07,2020-01-07 21:10:29,Pharmacy Hydronic Systems,Pharmacy Cooling Plant,Cooling Plant,CT_SYSTEM_ENABLE_BV,@p:ubcv:r:20545206-9300bfc5 Pharmacy,CT_SYSTEM_ENABLE_BV,,_,Bool
379,Pharmacy Rm 3129 VAV-3S003 Pharmacy Floor 3 Discharge Air Damper Open Cmd Pharmacy VAV_3S003_Dmp_Open,@p:ubcv:r:236c8e41-5e41a205 Pharmacy Rm 3129 VAV-3S003 VAV_3S003_Dmp_Open,2020-01-07,2020-01-07 20:35:51,Pharmacy Floor 3,Pharmacy Rm 3129 VAV-3S003,Rm 3129 VAV-3S003,Discharge Air Damper Open Cmd,@p:ubcv:r:20545206-9300bfc5 Pharmacy,VAV_3S003_Dmp_Open,,_,Bool
380,Pharmacy Rm B502 EAV-BS036 Pharmacy Floor 0 Exhaust Air Flow Alarm Pharmacy BS036_EXH_FLOW_AL_BV,@p:ubcv:r:236c89e6-d03b85b1 Pharmacy Rm B502 EAV-BS036 BS036_EXH_FLOW_AL_BV,2019-03-20,2019-03-20 22:22:53,Pharmacy Floor 0,Pharmacy Rm B502 EAV-BS036,Rm B502 EAV-BS036,Exhaust Air Flow Alarm,@p:ubcv:r:20545206-9300bfc5 Pharmacy,BS036_EXH_FLOW_AL_BV,,%RH,Bool
381,Pharmacy Rm 2350 VAV-2S021 Pharmacy Floor 2 Discharge Air Damper Open Cmd Pharmacy VAV_2S021_Dmp_Open,@p:ubcv:r:2391c2a9-2a09da3a Pharmacy Rm 2350 VAV-2S021 VAV_2S021_Dmp_Open,2020-01-07,2020-01-07 19:10:29,Pharmacy Floor 2,Pharmacy Rm 2350 VAV-2S021,Rm 2350 VAV-2S021,Discharge Air Damper Open Cmd,@p:ubcv:r:20545206-9300bfc5 Pharmacy,VAV_2S021_Dmp_Open,,omit,Bool
382,Pharmacy Rm 6303a VAV-6S037 Pharmacy Floor 6 Discharge Air Flow Alarm Pharmacy 6S037_6E044_SUP_FLOW_ALARM_BV,@p:ubcv:r:236c89f8-00be9eff Pharmacy Rm 6303a VAV-6S037 6S037_6E044_SUP_FLOW_ALARM_BV,2019-09-03,2019-09-03 20:14:23,Pharmacy Floor 6,Pharmacy Rm 6303a VAV-6S037,Pharmacy Rm 6303a VAV-6S037,Discharge Air Flow Alarm,@p:ubcv:r:20545206-9300bfc5 Pharmacy,6S037_6E044_SUP_FLOW_ALARM_BV,,_,Bool
383,Pharmacy Rm 5206b VAV-5S024 Pharmacy Floor 5 Flow Alarm Pharmacy 5S024_FLOW_ALARM_BV,@p:ubcv:r:236c8a02-82ef8e0f Pharmacy Rm 5206b VAV-5S024 5S024_FLOW_ALARM_BV,2020-01-07,2020-01-07 19:28:27,Pharmacy Floor 5,Pharmacy Rm 5206b VAV-5S024,Rm 5206b VAV-5S024,Flow Alarm,@p:ubcv:r:20545206-9300bfc5 Pharmacy,5S024_FLOW_ALARM_BV,,_,Bool
384,Pharmacy AHU-15 Pharmacy Air Systems Outside Air Damper Cmd Pharmacy AHU15_OAD,@p:ubcv:r:236c8ab6-e2506c8a Pharmacy AHU-15 AHU15_OAD,2019-11-21,2019-11-21 22:44:51,Pharmacy Air Systems,Pharmacy AHU-15,AHU-15,Outside Air Damper Cmd,@p:ubcv:r:20545206-9300bfc5 Pharmacy,AHU15_OAD,,_,Bool
385,Pharmacy Rm 5302d VAV-5S060 Pharmacy Floor 5 Discharge Air Flow Alarm Pharmacy 5S060_SUP_FLOW_ALARM_BV,@p:ubcv:r:236c89f8-688c5104 Pharmacy Rm 5302d VAV-5S060 5S060_SUP_FLOW_ALARM_BV,2019-09-03,2019-09-03 20:14:23,Pharmacy Floor 5,Pharmacy Rm 5302d VAV-5S060,Rm 5302d VAV-5S060,Discharge Air Flow Alarm,@p:ubcv:r:20545206-9300bfc5 Pharmacy,5S060_SUP_FLOW_ALARM_BV,,_,Bool
386,Pharmacy LEF-1 Pharmacy Air Systems EF1_EMEG_PWR_MODE Pharmacy EF1_EMEG_PWR_MODE,@p:ubcv:r:236c8a6b-77874c09 Pharmacy LEF-1 EF1_EMEG_PWR_MODE,2019-06-11,2019-06-11 18:12:04,Pharmacy Air Systems,Pharmacy LEF-1,LEF-1,EF1_EMEG_PWR_MODE,@p:ubcv:r:20545206-9300bfc5 Pharmacy,EF1_EMEG_PWR_MODE,,omit,Bool
387,Pharmacy Rm stairs VAV-2S022 Pharmacy Floor 2 Discharge Air Damper Open Cmd Pharmacy VAV_2S022_Dmp_Open,@p:ubcv:r:2391c370-afcf3014 Pharmacy Rm stairs VAV-2S022 VAV_2S022_Dmp_Open,2020-01-07,2020-01-07 20:40:30,Pharmacy Floor 2,Pharmacy Rm stairs VAV-2S022,Rm stairs VAV-2S022,Discharge Air Damper Open Cmd,@p:ubcv:r:20545206-9300bfc5 Pharmacy,VAV_2S022_Dmp_Open,,omit,Bool
388,Pharmacy AHU-17 Pharmacy Air Systems Outside Air Damper Cmd Pharmacy AHU17_OAD,@p:ubcv:r:236c8a6b-29cac011 Pharmacy AHU-17 AHU17_OAD,2019-09-03,2019-09-03 20:07:12,Pharmacy Air Systems,Pharmacy AHU-17,AHU-17,Outside Air Damper Cmd,@p:ubcv:r:20545206-9300bfc5 Pharmacy,AHU17_OAD,,_,Bool
389,Pharmacy Rm 4327 VAV-4S053 Pharmacy Floor 4 Discharge Air Damper Close Cmd Pharmacy VAV_4S053_Dmp_Close,@p:ubcv:r:2391c87b-d952fc71 Pharmacy Rm 4327 VAV-4S053 VAV_4S053_Dmp_Close,2020-01-07,2020-01-07 20:35:46,Pharmacy Floor 4,Pharmacy Rm 4327 VAV-4S053,Rm 4327 VAV-4S053,Discharge Air Damper Close Cmd,@p:ubcv:r:20545206-9300bfc5 Pharmacy,VAV_4S053_Dmp_Close,,omit,Bool
390,Pharmacy Rm 6206 EAV-6E026 Pharmacy Floor 6 Flow Alarm Pharmacy 6E026_FLOW_ALARM_BV,@p:ubcv:r:236c8a02-68199a6e Pharmacy Rm 6206 EAV-6E026 6E026_FLOW_ALARM_BV,2019-09-20,2019-09-20 07:40:55,Pharmacy Floor 6,Pharmacy Rm 6206 EAV-6E026,Rm 6206 EAV-6E026,Flow Alarm,@p:ubcv:r:20545206-9300bfc5 Pharmacy,6E026_FLOW_ALARM_BV,,_,Bool
391,Pharmacy Rm 6310 EAV-6E073 Pharmacy Floor 6 Flow Alarm Pharmacy 6E073_FLOW_ALARM_BV,@p:ubcv:r:236c8a02-a37a600c Pharmacy Rm 6310 EAV-6E073 6E073_FLOW_ALARM_BV,2019-06-11,2019-06-11 19:28:16,Pharmacy Floor 6,Pharmacy Rm 6310 EAV-6E073,Rm 6310 EAV-6E073,Flow Alarm,@p:ubcv:r:20545206-9300bfc5 Pharmacy,6E073_FLOW_ALARM_BV,,_,Bool
