,id,ahu,ahuMode,air,alarm,avg,bacnetConnRef,bacnetCur,bacnetHis,bacnetObjectId,bacnetPoint,bmsName,boiler,bridgeName,chilled,chiller,close,cmd,co2,condenser,connRef,cool,cooling,coolingTower,cop,count,covTest,cur,curStatus,curVal,current,damper,delta,demand,differential,disMacro,disabled,discharge,effective,efficiency,elec,elecMeterLoad,enable,energy,entering,enum,equipName,equipRef,esc,exhaust,fan,feedback,filter,flow,gas,groupRef,heat,heating,heatingMode,highLim,his,hisCollectCov,hisCollectInterval,hisConvert,hisEnd,hisErr,hisFunc,hisMode,hisSize,hisStart,hisStatus,hisTotalized,hot,humidity,kind,lastSynced,lastTagged,leaving,lim,lowLim,max,min,mixed,mode,navName,noTagMatch,objectId,occ,opcConnRef,opcCur,opcPoint,open,outside,perimeterHeat,pharmAHU05_AV_Alarm,pharmAHU10_VAV_DMP,pharmAHU13_VAV_DMP,pharmAHU1415_AV_Alarm,pharmAHU1415_VAV_DMP,pharmAHU1617_AV_ALARM,pharmAHU1617_VAV_DMP,pharmAHU9_VAV_DMP,pharmCT,pharmHWblr,pharmHeatRejCV,pharmSTMblr,pharmSteamBoilers,pharm_LEF_AFLW,pharm_LEF_Power,pharm_SAV_Test,point,pointType,power,preFilter,pressure,primarySide,pump,quantityID,reliability,return,roomRef,run,runtime,scheduleOcc,secondarySide,sensor,shortName,siteRef,sourceID,sp,speed,sqlConnRef,sqlPoint,sqlSource,static,submeterAdd,tagTableRef,tags,tank,temp,testUnits,tlName,toTag,tz,unit,utilityPoint,valve,vavMode,voltage,volume,water,wifi,wifiId,zone,mod,equipRefclean,groupRefclean,siteRefclean,uniqueId,uniqueId_nounit
3932,@p:ubcv:r:236c8b3c-3c0ba1df Pharmacy Unsorted Points LTG_RLY9,,,,,,@p:ubcv:r:236bb496-1077283c PHARMA PHARM_LTG_LVL6_WEST RM6107 (700527),,TL9,,✓,LTG_RLY9,,,,,,,,,@p:ubcv:r:236bb496-1077283c PHARMA PHARM_LTG_LVL6_WEST RM6107 (700527),,,,,,,,,,,,,,,$equipRef $bmsName,,,,,,,,,,,,@p:ubcv:r:236c89d2-3e86ef2f Pharmacy Unsorted Points,✓,,,,,,,@p:ubcv:r:236c89d2-78fca1e4 Pharmacy Unsorted Points,,,,,✓,,,,,,,,,,ok,,,,Bool,2020-06-05T08:55:44.807-07:00 Los_Angeles,2018-11-28T16:32:36.105-08:00 Los_Angeles,,,,,,,,LTG_RLY9,✓,,,,,,,,,,,,,,,,,,,,,,,,,✓,,,,,,,,,,,,,,,,,@p:ubcv:r:20545206-9300bfc5 Pharmacy,,,,,,,,,,,,,,LTG_RLY9_TL,,Los_Angeles,,,,,,,,,,,2020-04-08T23:17:37.334Z UTC,Pharmacy Unsorted Points,Pharmacy Unsorted Points,Pharmacy,Pharmacy Unsorted Points Pharmacy Unsorted Points LTG_RLY9 Pharmacy LTG_RLY9,Pharmacy Unsorted Points Pharmacy Unsorted Points LTG_RLY9 Pharmacy LTG_RLY9
3985,@p:ubcv:r:236c89f1-f5998686 Pharmacy Rm 6206 EAV-6E023 6E023_VLV_FLOW_FDBK_AV,,,✓,,,@p:ubcv:r:236bb200-28e006d3 PHARMA PHARM_MACRO_SERVER_FH_TEMP_RM (702900),,TL356,,✓,6E023_VLV_FLOW_FDBK_AV,,,,,,,,,@p:ubcv:r:236bb200-28e006d3 PHARMA PHARM_MACRO_SERVER_FH_TEMP_RM (702900),,,,,,,,,,,,,,,$equipRef $bmsName,,,,,,,,,,,,@p:ubcv:r:2437f950-43e84a9a Pharmacy Rm 6206 EAV-6E023,✓,✓,,,,✓,,@p:ubcv:r:24353a2d-1dc5b578 Pharmacy Floor 6,,,,,✓,,,,2020-06-05T08:00:00-07:00 Los_Angeles,,,,14108.0,2018-10-26T11:00:00-07:00 Los_Angeles,ok,,,,Number,2020-06-05T08:45:16.994-07:00 Los_Angeles,2018-11-28T16:32:38.288-08:00 Los_Angeles,,,,,,,,Exhaust Air Flow,,,,,,,,,,,,,,,,,,,,,,,,,,✓,,,,,,,,,,,,,,,✓,,@p:ubcv:r:20545206-9300bfc5 Pharmacy,,,,,,,,,@p:ubcv:r:245b883e-99bf586f (\d|B)E\d+_(.+_)?FLOW_FDBK(_AV)?(_TL)?,,,,,6E023_VLV_FLOW_FDBK_TL,,Los_Angeles,L/s,,,,,,,,,,2020-04-09T19:02:35.611Z UTC,Pharmacy Rm 6206 EAV-6E023,Pharmacy Floor 6,Pharmacy,Pharmacy Rm 6206 EAV-6E023 Pharmacy Floor 6 Exhaust Air Flow Pharmacy 6E023_VLV_FLOW_FDBK_AVL/s,Pharmacy Rm 6206 EAV-6E023 Pharmacy Floor 6 Exhaust Air Flow Pharmacy 6E023_VLV_FLOW_FDBK_AVL/s
4072,@p:ubcv:r:236c89f0-80390caf Pharmacy Rm 5206 EAV-5E037 5E037_VLV_FLOW_FDBK_AV,,,✓,,,@p:ubcv:r:236bb200-28e006d3 PHARMA PHARM_MACRO_SERVER_FH_TEMP_RM (702900),,TL227,,✓,5E037_VLV_FLOW_FDBK_AV,,,,,,,,,@p:ubcv:r:236bb200-28e006d3 PHARMA PHARM_MACRO_SERVER_FH_TEMP_RM (702900),,,,,,,,,,,,,,,$equipRef $bmsName,,,,,,,,,,,,@p:ubcv:r:2437f94d-3067b909 Pharmacy Rm 5206 EAV-5E037,✓,✓,,,,✓,,@p:ubcv:r:24353a1f-3e4e6d88 Pharmacy Floor 5,,,,,✓,,,,2020-06-05T08:38:59-07:00 Los_Angeles,,,,56256.0,2018-10-28T07:00:23-07:00 Los_Angeles,ok,,,,Number,2020-06-05T08:45:19.954-07:00 Los_Angeles,2018-11-28T16:32:53.108-08:00 Los_Angeles,,,,,,,,Exhaust Air Flow,,AV227,,,,,,,,,,,,,,,,,,,,,,,,✓,,,,,,,,,,,,,,,✓,,@p:ubcv:r:20545206-9300bfc5 Pharmacy,,,,,,,,,@p:ubcv:r:245b883e-99bf586f (\d|B)E\d+_(.+_)?FLOW_FDBK(_AV)?(_TL)?,,,,,5E037_VLV_FLOW_FDBK_AV_TL,,Los_Angeles,L/s,,,,,,,,,,2020-04-09T19:02:35.694Z UTC,Pharmacy Rm 5206 EAV-5E037,Pharmacy Floor 5,Pharmacy,Pharmacy Rm 5206 EAV-5E037 Pharmacy Floor 5 Exhaust Air Flow Pharmacy 5E037_VLV_FLOW_FDBK_AVL/s,Pharmacy Rm 5206 EAV-5E037 Pharmacy Floor 5 Exhaust Air Flow Pharmacy 5E037_VLV_FLOW_FDBK_AVL/s
4149,@p:ubcv:r:236c8ae6-7c86d16e Pharmacy LEF-4 EF4_HR_INLET_DMP,,,,,,"@p:ubcv:r:236bb200-e9f2ed59 PHARMA PHARM_AHU10_13_EF4,EF17_19 (700600)",,TL204,,✓,EF4_HR_INLET_DMP,,,,,,,,,"@p:ubcv:r:236bb200-e9f2ed59 PHARMA PHARM_AHU10_13_EF4,EF17_19 (700600)",,,,,,,,,,,,,,,$equipRef $bmsName,,,,,,,,,,,,@p:ubcv:r:24354342-ab496dc1 Pharmacy LEF-4,✓,,,,,,,@p:ubcv:r:2203b248-b3a5eb9a Pharmacy Air Systems,,,,,✓,,,,2020-06-05T08:38:10-07:00 Los_Angeles,,,,55979.0,2018-10-29T08:13:39-07:00 Los_Angeles,ok,,,,Number,2020-06-05T08:46:33.955-07:00 Los_Angeles,2018-11-28T16:32:36.58-08:00 Los_Angeles,,,,,,,,EF4_HR_INLET_DMP,✓,AO2404,,,,,,,,,,,,,,,,,,,,,,,,✓,,,,,,,,,,,,,,,,,@p:ubcv:r:20545206-9300bfc5 Pharmacy,,,,,,,,,,,,,,EF4_HR_INLET_DMP_POLL_TL,,Los_Angeles,%,,,,,,,,,,2020-04-09T19:02:31.567Z UTC,Pharmacy LEF-4,Pharmacy Air Systems,Pharmacy,Pharmacy LEF-4 Pharmacy Air Systems EF4_HR_INLET_DMP Pharmacy EF4_HR_INLET_DMP%,Pharmacy LEF-4 Pharmacy Air Systems EF4_HR_INLET_DMP Pharmacy EF4_HR_INLET_DMP%
4162,@p:ubcv:r:236c8b04-f39358f1 Pharmacy Unsorted Points NMR_LO_O2_SP,,,,,,@p:ubcv:r:236bb496-a3dcc6fe PHARMA PHARM_FCU_515_NMR5105 (700534),,TL28,,✓,NMR_LO_O2_SP,,,,,,,,,@p:ubcv:r:236bb496-a3dcc6fe PHARMA PHARM_FCU_515_NMR5105 (700534),,,,,,,,,,,,,,,$equipRef $bmsName,,,,,,,,,,,,@p:ubcv:r:236c89d2-3e86ef2f Pharmacy Unsorted Points,✓,,,,,,,@p:ubcv:r:236c89d2-78fca1e4 Pharmacy Unsorted Points,,,,,✓,,,,2020-06-05T08:49:00-07:00 Los_Angeles,,,,800881.0,2018-10-31T07:38:00-07:00 Los_Angeles,ok,,,,Number,2020-06-05T08:49:48.271-07:00 Los_Angeles,2018-11-28T16:32:55.397-08:00 Los_Angeles,,,,,,,,NMR_LO_O2_SP,✓,AV4,,,,,,,,,,,,,,,,,,,,,,,,✓,,,,,,,,,,,,,,,,,@p:ubcv:r:20545206-9300bfc5 Pharmacy,,,,,,,,,,,,,,NMR_LO_O2_SP_TL,,Los_Angeles,%,,,,,,,,,,2020-04-09T19:02:31.426Z UTC,Pharmacy Unsorted Points,Pharmacy Unsorted Points,Pharmacy,Pharmacy Unsorted Points Pharmacy Unsorted Points NMR_LO_O2_SP Pharmacy NMR_LO_O2_SP%,Pharmacy Unsorted Points Pharmacy Unsorted Points NMR_LO_O2_SP Pharmacy NMR_LO_O2_SP%
4232,@p:ubcv:r:236c8b3c-77e96c61 Pharmacy Unsorted Points LTG_RLY5,,,,,,@p:ubcv:r:236bb496-1077283c PHARMA PHARM_LTG_LVL6_WEST RM6107 (700527),,TL5,,✓,LTG_RLY5,,,,,,,,,@p:ubcv:r:236bb496-1077283c PHARMA PHARM_LTG_LVL6_WEST RM6107 (700527),,,,,,,,,,,,,,,$equipRef $bmsName,,,,,,,,,,,,@p:ubcv:r:236c89d2-3e86ef2f Pharmacy Unsorted Points,✓,,,,,,,@p:ubcv:r:236c89d2-78fca1e4 Pharmacy Unsorted Points,,,,,✓,,,,,,,,,,ok,,,,Bool,2020-06-05T08:55:44.039-07:00 Los_Angeles,2018-11-28T16:32:36.118-08:00 Los_Angeles,,,,,,,,LTG_RLY5,✓,,,,,,,,,,,,,,,,,,,,,,,,,✓,,,,,,,,,,,,,,,,,@p:ubcv:r:20545206-9300bfc5 Pharmacy,,,,,,,,,,,,,,LTG_RLY5_TL,,Los_Angeles,,,,,,,,,,,2020-04-08T23:17:37.358Z UTC,Pharmacy Unsorted Points,Pharmacy Unsorted Points,Pharmacy,Pharmacy Unsorted Points Pharmacy Unsorted Points LTG_RLY5 Pharmacy LTG_RLY5,Pharmacy Unsorted Points Pharmacy Unsorted Points LTG_RLY5 Pharmacy LTG_RLY5
4266,@p:ubcv:r:236c9002-3b5494b5 Pharmacy Unsorted Points LTG_RLY4,,,,,,@p:ubcv:r:236bb268-863b2f88 Pharmacy PHARM_BSMNT_LTG_B104 (700105),,TL4,,✓,LTG_RLY4,,,,,,,,,@p:ubcv:r:236bb268-863b2f88 Pharmacy PHARM_BSMNT_LTG_B104 (700105),,,,,,,,,,,,,,,$equipRef $bmsName,,,,,,,,,,,,@p:ubcv:r:236c89d2-3e86ef2f Pharmacy Unsorted Points,✓,,,,,,,@p:ubcv:r:236c89d2-78fca1e4 Pharmacy Unsorted Points,,,,,✓,,,,,,,,,,ok,,,,Bool,2020-06-05T08:49:49.47-07:00 Los_Angeles,2018-11-28T16:32:36.109-08:00 Los_Angeles,,,,,,,,LTG_RLY4,✓,,,,,,,,,,,,,,,,,,,,,,,,,✓,,,,,,,,,,,,,,,,,@p:ubcv:r:20545206-9300bfc5 Pharmacy,,,,,,,,,,,,,,LTG_RLY4_TL,,Los_Angeles,,,,,,,,,,,2020-04-08T23:17:36.91Z UTC,Pharmacy Unsorted Points,Pharmacy Unsorted Points,Pharmacy,Pharmacy Unsorted Points Pharmacy Unsorted Points LTG_RLY4 Pharmacy LTG_RLY4,Pharmacy Unsorted Points Pharmacy Unsorted Points LTG_RLY4 Pharmacy LTG_RLY4
4432,@p:ubcv:r:236c8d21-da821f7b Pharmacy Unsorted Points LTG_RLY12,,,,,,@p:ubcv:r:236bb496-9a9c9e00 PHARMA PHARM_LTG_LVL5_WEST RM5107 (700501),,TL12,,✓,LTG_RLY12,,,,,,,,,@p:ubcv:r:236bb496-9a9c9e00 PHARMA PHARM_LTG_LVL5_WEST RM5107 (700501),,,,,,,,,,,,,,,$equipRef $bmsName,,,,,,,,,,,,@p:ubcv:r:236c89d2-3e86ef2f Pharmacy Unsorted Points,✓,,,,,,,@p:ubcv:r:236c89d2-78fca1e4 Pharmacy Unsorted Points,,,,,✓,,,,,,,,,,ok,,,,Bool,2020-06-05T08:50:54.038-07:00 Los_Angeles,2018-11-28T16:32:47.191-08:00 Los_Angeles,,,,,,,,LTG_RLY12,✓,,,,,,,,,,,,,,,,,,,,,,,,,✓,,,,,,,,,,,,,,,,,@p:ubcv:r:20545206-9300bfc5 Pharmacy,,,,,,,,,,,,,,LTG_RLY12_TL,,Los_Angeles,,,,,,,,,,,2020-04-08T23:17:37.377Z UTC,Pharmacy Unsorted Points,Pharmacy Unsorted Points,Pharmacy,Pharmacy Unsorted Points Pharmacy Unsorted Points LTG_RLY12 Pharmacy LTG_RLY12,Pharmacy Unsorted Points Pharmacy Unsorted Points LTG_RLY12 Pharmacy LTG_RLY12
4442,@p:ubcv:r:236c8a57-ac777104 Pharmacy LEF-2 EF2_HR_INLET_DMP,,,,,,"@p:ubcv:r:236bb200-54317492 PHARMA PHARM_SB3~6,EF2,SMOKE_EF14~16 (701600)",,TL4,,✓,EF2_HR_INLET_DMP,,,,,,,,,"@p:ubcv:r:236bb200-54317492 PHARMA PHARM_SB3~6,EF2,SMOKE_EF14~16 (701600)",,,,,,,,,,,,,,,$equipRef $bmsName,,,,,,,,,,,,@p:ubcv:r:24354341-29d2315c Pharmacy LEF-2,✓,,,,,,,@p:ubcv:r:2203b248-b3a5eb9a Pharmacy Air Systems,,,,,✓,,,,2020-06-05T08:49:20-07:00 Los_Angeles,,,,56436.0,2018-10-26T10:42:26-07:00 Los_Angeles,ok,,,,Number,2020-06-05T08:51:54.559-07:00 Los_Angeles,2018-11-28T16:32:33.79-08:00 Los_Angeles,,,,,,,,EF2_HR_INLET_DMP,✓,,,,,,,,,,,,,,,,,,,,,,,,,✓,,,,,,,,,,,,,,,,,@p:ubcv:r:20545206-9300bfc5 Pharmacy,,,,,,,,,,,,,,EF2_HR_INLET_DMP_TL,,Los_Angeles,%,,,,,,,,,,2020-04-09T19:02:34.149Z UTC,Pharmacy LEF-2,Pharmacy Air Systems,Pharmacy,Pharmacy LEF-2 Pharmacy Air Systems EF2_HR_INLET_DMP Pharmacy EF2_HR_INLET_DMP%,Pharmacy LEF-2 Pharmacy Air Systems EF2_HR_INLET_DMP Pharmacy EF2_HR_INLET_DMP%
4471,@p:ubcv:r:236c8ae6-d13b343d Pharmacy LEF-4 EF-4B EF4_F2_ENAB,,,,,,"@p:ubcv:r:236bb200-e9f2ed59 PHARMA PHARM_AHU10_13_EF4,EF17_19 (700600)",,TL20,,✓,EF4_F2_ENAB,,,,,,✓,,,"@p:ubcv:r:236bb200-e9f2ed59 PHARMA PHARM_AHU10_13_EF4,EF17_19 (700600)",,,,,,,,,,,,,,,$equipRef $bmsName,,,,,,,✓,,,"Off,On",,@p:ubcv:r:24354342-f4eb515a Pharmacy LEF-4 EF-4B,✓,✓,✓,,,,,@p:ubcv:r:2203b248-b3a5eb9a Pharmacy Air Systems,,,,,✓,,,,2020-04-02T07:04:19-07:00 Los_Angeles,,,,18.0,2018-11-05T21:15:55-08:00 Los_Angeles,ok,,,,Bool,2020-06-05T08:46:31.921-07:00 Los_Angeles,2018-11-28T16:32:45.139-08:00 Los_Angeles,,,,,,,,Exhaust Fan Enable Cmd,,BO1202,,,,,,,,,,,,,,,,,,,,,,,,✓,,,,,,,,,,,,,,,,,@p:ubcv:r:20545206-9300bfc5 Pharmacy,,,,,,,,,@p:ubcv:r:24423bb9-3d9df396 (.+_)?EF_?\d+?_(F\d_)?ENAB(_TL)?,,,,,EF4_F2_ENAB_TL,,Los_Angeles,,,,,,,,,,,2020-04-09T19:16:27.078Z UTC,Pharmacy LEF-4 EF-4B,Pharmacy Air Systems,Pharmacy,Pharmacy LEF-4 EF-4B Pharmacy Air Systems Exhaust Fan Enable Cmd Pharmacy EF4_F2_ENAB,Pharmacy LEF-4 EF-4B Pharmacy Air Systems Exhaust Fan Enable Cmd Pharmacy EF4_F2_ENAB
4478,@p:ubcv:r:236c89f0-a4c283c7 Pharmacy Rm 5206 EAV-5E070 5E070_VLV_FLOW_FDBK_AV,,,✓,,,@p:ubcv:r:236bb200-28e006d3 PHARMA PHARM_MACRO_SERVER_FH_TEMP_RM (702900),,TL233,,✓,5E070_VLV_FLOW_FDBK_AV,,,,,,,,,@p:ubcv:r:236bb200-28e006d3 PHARMA PHARM_MACRO_SERVER_FH_TEMP_RM (702900),,,,,,,,,,,,,,,$equipRef $bmsName,,,,,,,,,,,,@p:ubcv:r:2437f94f-3f6d6762 Pharmacy Rm 5206 EAV-5E070,✓,✓,,,,✓,,@p:ubcv:r:24353a1f-3e4e6d88 Pharmacy Floor 5,,,,,✓,,,,2020-06-05T08:38:59-07:00 Los_Angeles,,,,56256.0,2018-10-28T07:00:23-07:00 Los_Angeles,ok,,,,Number,2020-06-05T08:45:19.776-07:00 Los_Angeles,2018-11-28T16:32:59.41-08:00 Los_Angeles,,,,,,,,Exhaust Air Flow,,AV233,,,,,,,,,,,,,,,,,,,,,,,,✓,,,,,,,,,,,,,,,✓,,@p:ubcv:r:20545206-9300bfc5 Pharmacy,,,,,,,,,@p:ubcv:r:245b883e-99bf586f (\d|B)E\d+_(.+_)?FLOW_FDBK(_AV)?(_TL)?,,,,,5E070_VLV_FLOW_FDBK_AV_TL,,Los_Angeles,L/s,,,,,,,,,,2020-04-09T19:02:35.634Z UTC,Pharmacy Rm 5206 EAV-5E070,Pharmacy Floor 5,Pharmacy,Pharmacy Rm 5206 EAV-5E070 Pharmacy Floor 5 Exhaust Air Flow Pharmacy 5E070_VLV_FLOW_FDBK_AVL/s,Pharmacy Rm 5206 EAV-5E070 Pharmacy Floor 5 Exhaust Air Flow Pharmacy 5E070_VLV_FLOW_FDBK_AVL/s
4509,@p:ubcv:r:236c8ae6-ff84f3af Pharmacy LEF-4 EF-4B EF4_F2_SPD_FB,,,✓,,,"@p:ubcv:r:236bb200-e9f2ed59 PHARMA PHARM_AHU10_13_EF4,EF17_19 (700600)",,TL203,,✓,EF4_F2_SPD_FB,,,,,,,,,"@p:ubcv:r:236bb200-e9f2ed59 PHARMA PHARM_AHU10_13_EF4,EF17_19 (700600)",,,,,,,,,,,,,,,$equipRef $bmsName,,,,,,,,,,,,@p:ubcv:r:24354342-f4eb515a Pharmacy LEF-4 EF-4B,✓,✓,✓,,,,,@p:ubcv:r:2203b248-b3a5eb9a Pharmacy Air Systems,,,,,✓,,,,2020-06-05T08:38:10-07:00 Los_Angeles,,,,50584.0,2018-10-29T08:13:39-07:00 Los_Angeles,ok,,,,Number,2020-06-05T08:46:33.8-07:00 Los_Angeles,2018-11-28T16:32:28.636-08:00 Los_Angeles,,,,,,,,Exhaust Fan Speed,,,,,,,,,,,,,,,,,,,,,,,,,,✓,,,,,,,,,,,,,,,✓,,@p:ubcv:r:20545206-9300bfc5 Pharmacy,,,✓,,,,,,@p:ubcv:r:24423d81-5e5a6858 (.+_)?EF\d_F\d_SPD_FB(_TL)?,✓,,,,EF4_F2_SPD_FB_POLL_TL,,Los_Angeles,%,,,,,,,,,,2020-04-09T19:02:31.483Z UTC,Pharmacy LEF-4 EF-4B,Pharmacy Air Systems,Pharmacy,Pharmacy LEF-4 EF-4B Pharmacy Air Systems Exhaust Fan Speed Pharmacy EF4_F2_SPD_FB%,Pharmacy LEF-4 EF-4B Pharmacy Air Systems Exhaust Fan Speed Pharmacy EF4_F2_SPD_FB%
4512,@p:ubcv:r:236c8d21-12f07160 Pharmacy Unsorted Points LTG_RLY7,,,,,,@p:ubcv:r:236bb496-9a9c9e00 PHARMA PHARM_LTG_LVL5_WEST RM5107 (700501),,TL7,,✓,LTG_RLY7,,,,,,,,,@p:ubcv:r:236bb496-9a9c9e00 PHARMA PHARM_LTG_LVL5_WEST RM5107 (700501),,,,,,,,,,,,,,,$equipRef $bmsName,,,,,,,,,,,,@p:ubcv:r:236c89d2-3e86ef2f Pharmacy Unsorted Points,✓,,,,,,,@p:ubcv:r:236c89d2-78fca1e4 Pharmacy Unsorted Points,,,,,✓,,,,,,,,,,ok,,,,Bool,2020-06-05T08:50:53.029-07:00 Los_Angeles,2018-11-28T16:32:36.096-08:00 Los_Angeles,,,,,,,,LTG_RLY7,✓,,,,,,,,,,,,,,,,,,,,,,,,,✓,,,,,,,,,,,,,,,,,@p:ubcv:r:20545206-9300bfc5 Pharmacy,,,,,,,,,,,,,,LTG_RLY7_TL,,Los_Angeles,,,,,,,,,,,2020-04-08T23:17:36.926Z UTC,Pharmacy Unsorted Points,Pharmacy Unsorted Points,Pharmacy,Pharmacy Unsorted Points Pharmacy Unsorted Points LTG_RLY7 Pharmacy LTG_RLY7,Pharmacy Unsorted Points Pharmacy Unsorted Points LTG_RLY7 Pharmacy LTG_RLY7
4539,@p:ubcv:r:236c8a09-e6084579 Pharmacy Unsorted Points LEAD_CHLR,,,,,,@p:ubcv:r:215c5033-89e1cad9 Pharmacy PHARM_CHILLERS_1_4 (702600),,TL330,,✓,LEAD_CHLR,,,,,,,,,@p:ubcv:r:215c5033-89e1cad9 Pharmacy PHARM_CHILLERS_1_4 (702600),,,,,,✓,,,,,,,,,$equipRef $bmsName,,,,,,,,,,"CHILLER_1,CHILLER_3",,@p:ubcv:r:236c89d2-3e86ef2f Pharmacy Unsorted Points,✓,,,,,,,@p:ubcv:r:236c89d2-78fca1e4 Pharmacy Unsorted Points,,,,,✓,,,"-1 enumNumberToStr(self, false)",2020-06-03T10:30:00-07:00 Los_Angeles,,,cov,92.0,2018-11-21T10:30:00-08:00 Los_Angeles,ok,,,,Str,2020-06-05T08:46:31.983-07:00 Los_Angeles,2018-11-28T16:32:27.34-08:00 Los_Angeles,,,,,,,,LEAD_CHLR,✓,MSV6,,,,,,,,,,,,,,,,,,,,,,,,✓,,,,,,,,,,,,,,,,,@p:ubcv:r:20545206-9300bfc5 Pharmacy,,,,,,,,,,,,,,LEAD_CHLR_COV_TL,,Los_Angeles,,,,,,,,,,,2020-04-09T19:16:27.1Z UTC,Pharmacy Unsorted Points,Pharmacy Unsorted Points,Pharmacy,Pharmacy Unsorted Points Pharmacy Unsorted Points LEAD_CHLR Pharmacy LEAD_CHLR,Pharmacy Unsorted Points Pharmacy Unsorted Points LEAD_CHLR Pharmacy LEAD_CHLR
4658,@p:ubcv:r:236c8a41-5c62f4d4 Pharmacy Unsorted Points application packets sent,,,,,,@p:ubcv:r:236bb200-bd580417 PHARMA PHARM_LABS_BAC2 (701900),,TL281,,✓,application packets sent,,,,,,,,,@p:ubcv:r:236bb200-bd580417 PHARMA PHARM_LABS_BAC2 (701900),,,,,,,,,,,,,,,$equipRef $bmsName,,,,,,,,,,,,@p:ubcv:r:236c89d2-3e86ef2f Pharmacy Unsorted Points,✓,,,,,,,@p:ubcv:r:236c89d2-78fca1e4 Pharmacy Unsorted Points,,,,,✓,,,,2020-06-05T08:44:55-07:00 Los_Angeles,,,,5585008.0,2018-10-31T09:51:55-07:00 Los_Angeles,ok,,,,Number,2020-06-05T08:44:56.82-07:00 Los_Angeles,2018-11-28T16:32:39.737-08:00 Los_Angeles,,,,,,,,application packets sent,✓,AV456,,,,,,,,,,,,,,,,,,,,,,,,✓,,,,,,,,,,,,,,,,,@p:ubcv:r:20545206-9300bfc5 Pharmacy,,,,,,,,,,,,,,packets sent,,Los_Angeles,_,,,,,,,,,,2020-04-09T19:15:25.181Z UTC,Pharmacy Unsorted Points,Pharmacy Unsorted Points,Pharmacy,Pharmacy Unsorted Points Pharmacy Unsorted Points application packets sent Pharmacy application packets sent_,Pharmacy Unsorted Points Pharmacy Unsorted Points application packets sent Pharmacy application packets sent_
4723,@p:ubcv:r:236c8a57-b3e296d1 Pharmacy Heating Plant SBLR-4 PHARM_SB4_ALM,,,,✓,,"@p:ubcv:r:236bb200-54317492 PHARMA PHARM_SB3~6,EF2,SMOKE_EF14~16 (701600)",,TL316,,✓,PHARM_SB4_ALM,✓,,,,,,,,"@p:ubcv:r:236bb200-54317492 PHARMA PHARM_SB3~6,EF2,SMOKE_EF14~16 (701600)",,,,,,,,,,,,,,,$equipRef $bmsName,,,,,,,,,,"OFF,ON",,@p:ubcv:r:2436ad45-b7d94de0 Pharmacy Heating Plant SBLR-4,✓,,,,,,,@p:ubcv:r:21698198-656d403f Pharmacy Hydronic Systems,,,,,✓,,,,2020-05-29T07:13:21-07:00 Los_Angeles,,,,87.0,2018-10-26T19:49:32-07:00 Los_Angeles,ok,,,,Bool,2020-06-05T08:51:53.473-07:00 Los_Angeles,2018-11-28T16:32:35.426-08:00 Los_Angeles,,,,,,,,Alarm,,BV304,,,,,,,,,,,,,,,,,,,✓,,,,,✓,,,,,,,,,,,,,,,✓,,@p:ubcv:r:20545206-9300bfc5 Pharmacy,,,,,,,,,@p:ubcv:r:24e5eeff-534ef31c .+B\d_ALM(_TL)?,,,,,PHARM_SB4_ALM_TL,,Los_Angeles,,,,,,,,,,,2020-04-09T19:16:27.18Z UTC,Pharmacy Heating Plant SBLR-4,Pharmacy Hydronic Systems,Pharmacy,Pharmacy Heating Plant SBLR-4 Pharmacy Hydronic Systems Alarm Pharmacy PHARM_SB4_ALM,Pharmacy Heating Plant SBLR-4 Pharmacy Hydronic Systems Alarm Pharmacy PHARM_SB4_ALM
4730,@p:ubcv:r:236c8a6c-2bd13026 Pharmacy LEF-1 EF-1C EF1_F3_ENAB,,,,,,"@p:ubcv:r:236bb200-176f7cdc PHARMA PHARM_AHU16~18,EF1 (701500)",,TL302,,✓,EF1_F3_ENAB,,,,,,✓,,,"@p:ubcv:r:236bb200-176f7cdc PHARMA PHARM_AHU16~18,EF1 (701500)",,,,,,,,,,,,,,,$equipRef $bmsName,,,,,,,✓,,,,,@p:ubcv:r:24354341-2f4e843b Pharmacy LEF-1 EF-1C,✓,✓,✓,,,,,@p:ubcv:r:2203b248-b3a5eb9a Pharmacy Air Systems,,,,,✓,,,,2020-06-05T08:44:05-07:00 Los_Angeles,,,,51616.0,2018-10-29T08:08:34-07:00 Los_Angeles,ok,,,,Bool,2020-06-05T08:45:17.521-07:00 Los_Angeles,2018-11-28T16:32:27.814-08:00 Los_Angeles,,,,,,,,Exhaust Fan Enable Cmd,,,,,,,,,,,,,,,,,,,,,,,,,,✓,,,,,,,,,,,,,,,,,@p:ubcv:r:20545206-9300bfc5 Pharmacy,,,,,,,,,@p:ubcv:r:24423bb9-3d9df396 (.+_)?EF_?\d+?_(F\d_)?ENAB(_TL)?,,,,,EF1_F3_ENAB_POLL_TL,,Los_Angeles,,,,,,,,,,,2020-04-09T19:16:27.182Z UTC,Pharmacy LEF-1 EF-1C,Pharmacy Air Systems,Pharmacy,Pharmacy LEF-1 EF-1C Pharmacy Air Systems Exhaust Fan Enable Cmd Pharmacy EF1_F3_ENAB,Pharmacy LEF-1 EF-1C Pharmacy Air Systems Exhaust Fan Enable Cmd Pharmacy EF1_F3_ENAB
