,index,id,groupRefclean,equipRefclean,siteRef,navName_x,bmsName,unit_x,kind,0
1174,1506,@p:ubcv:r:21433683-704eac70 Pharmacy Cooling Plant CH-4 CHLR4_COP,Pharmacy Hydronic Systems,Pharmacy Cooling Plant CH-4,@p:ubcv:r:20545206-9300bfc5 Pharmacy,cop,CHLR4_COP,_,Number,
1175,1508,@p:ubcv:r:236c8e41-36ca2d9f Pharmacy Rm 3129 VAV-3S003 VAV_3S003_HCV,Pharmacy Floor 3,Pharmacy Rm 3129 VAV-3S003,@p:ubcv:r:20545206-9300bfc5 Pharmacy,Heating Valve Cmd,VAV_3S003_HCV,%,Number,
1176,1509,@p:ubcv:r:2391cb5a-2eaa0341 Pharmacy Rm 5304 FC-504 FCU_504_NSB_CLG_BV,Pharmacy Floor 5,Pharmacy Rm 5304 FC-504,@p:ubcv:r:20545206-9300bfc5 Pharmacy,FCU_504_NSB_CLG_BV,FCU_504_NSB_CLG_BV,,Bool,
1177,1510,@p:ubcv:r:236c8f85-14a3fb29 Pharmacy Rm 3120 VAV-3S020 VAV_3S020_HCV,Pharmacy Floor 3,Pharmacy Rm 3120 VAV-3S020,@p:ubcv:r:20545206-9300bfc5 Pharmacy,Heating Valve Cmd,VAV_3S020_HCV,%,Number,
1178,1512,@p:ubcv:r:2391c325-bd42e5d5 Pharmacy Rm 2340 VAV-2S010 VAV_2S010_CO2-1,Pharmacy Floor 2,Pharmacy Rm 2340 VAV-2S010,@p:ubcv:r:20545206-9300bfc5 Pharmacy,Zone Co2,VAV_2S010_CO2-1,ppm,Number,
1179,1513,@p:ubcv:r:236c8fec-47214722 Pharmacy CRAH System CRAH-3 CRAH3_HI_RAH_AL_BV,Pharmacy Hydronic Systems,Pharmacy CRAH System CRAH-3,@p:ubcv:r:20545206-9300bfc5 Pharmacy,Alarm,CRAH3_HI_RAH_AL_BV,,Bool,
1180,1514,@p:ubcv:r:236c8a40-139b576b Pharmacy Rm B406b EAV-BS074 BS074_EXH_OVRD_AV,Pharmacy Floor 0,Pharmacy Rm B406b EAV-BS074,@p:ubcv:r:20545206-9300bfc5 Pharmacy,BS074_EXH_OVRD_AV,BS074_EXH_OVRD_AV,%,Number,
1181,1515,@p:ubcv:r:236c8a41-29112385 Pharmacy Rm B401b EAV-BS006 BS006_PRIMARY_ACH_SP,Pharmacy Floor 0,Pharmacy Rm B401b EAV-BS006,@p:ubcv:r:20545206-9300bfc5 Pharmacy,BS006_PRIMARY_ACH_SP,BS006_PRIMARY_ACH_SP,_,Number,
1182,1517,@p:ubcv:r:2391b8f2-290de778 Pharmacy Rm 1010 RAD-1-01 RZ1_01_HWRT_HILIM_SP,Pharmacy Floor 1,Pharmacy Rm 1010 RAD-1-01,@p:ubcv:r:20545206-9300bfc5 Pharmacy,Entering Hot Water Temp Max Sp,RZ1_01_HWRT_HILIM_SP,°C,Number,
1183,1518,@p:ubcv:r:236c8a6b-411135d5 Pharmacy HW Submeters FM-1 FM1_BTU_EF1_2_ENERGY(kW),Pharmacy Utilities,Pharmacy HW Submeters FM-1,@p:ubcv:r:20545206-9300bfc5 Pharmacy,Power,FM1_BTU_EF1_2_ENERGY(kW),kW,Number,
1184,1519,@p:ubcv:r:2391c480-03a210b6 Pharmacy Rm 2333 VAV-2S015 VAV_2S015_DP,Pharmacy Floor 2,Pharmacy Rm 2333 VAV-2S015,@p:ubcv:r:20545206-9300bfc5 Pharmacy,Discharge Air Differential Pressure,VAV_2S015_DP,Pa,Number,
1185,1520,@p:ubcv:r:2391bfa9-f5642db1 Pharmacy Rm B310 FC-B07 FCU_B07_CCV,Pharmacy Floor 0,Pharmacy Rm B310 FC-B07,@p:ubcv:r:20545206-9300bfc5 Pharmacy,Cooling Valve Cmd,FCU_B07_CCV,%,Number,
1186,1522,@p:ubcv:r:2391cb5a-4afd4026 Pharmacy Rm 5304 FC-504 FCU_504_CCV,Pharmacy Floor 5,Pharmacy Rm 5304 FC-504,@p:ubcv:r:20545206-9300bfc5 Pharmacy,Cooling Valve Cmd,FCU_504_CCV,%,Number,
1187,1523,@p:ubcv:r:236c8a6c-803c91cb Pharmacy LEF-1 EF1_HR_OUTLET_T,Pharmacy Air Systems,Pharmacy LEF-1,@p:ubcv:r:20545206-9300bfc5 Pharmacy,EF1_HR_OUTLET_T,EF1_HR_OUTLET_T,°C,Number,
1188,1524,@p:ubcv:r:2391bd1b-f6efb0c9 Pharmacy Rm 3202 VAV-3S015 VAV_3S015_MOTION,Pharmacy Floor 3,Pharmacy Rm 3202 VAV-3S015,@p:ubcv:r:20545206-9300bfc5 Pharmacy,Occupancy Sensor,VAV_3S015_MOTION,,Bool,
1189,1526,@p:ubcv:r:236c89f1-27062057 Pharmacy Rm 6312 EAV-6E018 6E018_SASH_OPEN_PERCENT,Pharmacy Floor 6,Pharmacy Rm 6312 EAV-6E018,@p:ubcv:r:20545206-9300bfc5 Pharmacy,6E018_SASH_OPEN_PERCENT,6E018_SASH_OPEN_PERCENT,%,Number,
1190,1527,@p:ubcv:r:236c8a03-01e329db Pharmacy EAV-BE002 BE002_JAM_ALARM_BV,Pharmacy Floor 0,Pharmacy EAV-BE002,@p:ubcv:r:20545206-9300bfc5 Pharmacy,Flow Alarm,BE002_JAM_ALARM_BV,,Bool,
1191,1528,@p:ubcv:r:236c8a1d-b6a0f130 Pharmacy Elec Submeters LEED-2N1PC3 2N1PC3_Voltage_B_N,Pharmacy Utilities,Pharmacy Elec Submeters LEED-2N1PC3,@p:ubcv:r:20545206-9300bfc5 Pharmacy,Voltage B,2N1PC3_Voltage_B_N,V,Number,
1192,1530,@p:ubcv:r:263d7bd5-8a9d2413 Pharmacy Unsorted Points CHLR1_LO_TMP,Pharmacy Unsorted Points,Pharmacy Unsorted Points,@p:ubcv:r:20545206-9300bfc5 Pharmacy,CHLR1_LO_TMP,CHLR1_LO_TMP,,Bool,
1193,1531,@p:ubcv:r:236c8ee1-ec63fe9a Pharmacy VAV-3S030B VAV_3S030B_RT_SP,Pharmacy Floor 3,Pharmacy VAV-3S030B,@p:ubcv:r:20545206-9300bfc5 Pharmacy,Zone Temp Effective Sp,VAV_3S030B_RT_SP,°C,Number,
1194,1533,@p:ubcv:r:236c8a1d-14abf087 Pharmacy Elec Submeters LEED-6N6LC1 6N6LC1_Instant_Power,Pharmacy Utilities,Pharmacy Elec Submeters LEED-6N6LC1,@p:ubcv:r:20545206-9300bfc5 Pharmacy,6N6LC1_Instant_Power,6N6LC1_Instant_Power,W,Number,
1195,1534,@p:ubcv:r:236c89d6-83b43fee Pharmacy Rm 5206 EAV-5E040 5E040_VLV_FLOW_FDBK_AV,Pharmacy Floor 5,Pharmacy Rm 5206 EAV-5E040,@p:ubcv:r:20545206-9300bfc5 Pharmacy,Exhaust Air Flow,5E040_VLV_FLOW_FDBK_AV,L/s,Number,
1196,1535,@p:ubcv:r:2391c4e1-02a2bfc7 Pharmacy VAV-2S033 VAV_2S033_DMP,Pharmacy Floor 2,Pharmacy VAV-2S033,@p:ubcv:r:20545206-9300bfc5 Pharmacy,Discharge Air Damper Cmd,VAV_2S033_DMP,%,Number,
1197,1536,@p:ubcv:r:236c8ae7-6fcc0a78 Pharmacy AHU-10 AHU10_HWRT,Pharmacy Air Systems,Pharmacy AHU-10,@p:ubcv:r:20545206-9300bfc5 Pharmacy,Entering Hot Water Temp,AHU10_HWRT,°C,Number,
1198,1537,@p:ubcv:r:2391ca72-97f0b73b Pharmacy Rm 6106 FC-606 FCU_606_RM6312B_CO2,Pharmacy Floor 6,Pharmacy Rm 6106 FC-606,@p:ubcv:r:20545206-9300bfc5 Pharmacy,Zone Co2,FCU_606_RM6312B_CO2,ppm,Number,
1199,1540,@p:ubcv:r:2391b8f2-3479653a Pharmacy Rm 1010 RAD-1-03 RZ1_03_SLAB_T1,Pharmacy Floor 1,Pharmacy Rm 1010 RAD-1-03,@p:ubcv:r:20545206-9300bfc5 Pharmacy,Zone Temp,RZ1_03_SLAB_T1,°C,Number,
1200,1541,@p:ubcv:r:236c8a1e-3e5fea65 Pharmacy Elec Submeters LEED-6N6LE1 6N6LE1_Voltage_B_N,Pharmacy Utilities,Pharmacy Elec Submeters LEED-6N6LE1,@p:ubcv:r:20545206-9300bfc5 Pharmacy,Voltage B,6N6LE1_Voltage_B_N,V,Number,
1201,1542,@p:ubcv:r:2391ca07-e7bb2e7c Pharmacy Unsorted Points INCU_AL_5302B,Pharmacy Unsorted Points,Pharmacy Unsorted Points,@p:ubcv:r:20545206-9300bfc5 Pharmacy,INCU_AL_5302B,INCU_AL_5302B,,Bool,
1202,1543,@p:ubcv:r:236c901a-bd053697 Pharmacy FC-B08 FCU_B08_C,Pharmacy Floor 0,Pharmacy FC-B08,@p:ubcv:r:20545206-9300bfc5 Pharmacy,Discharge Fan Run Cmd,FCU_B08_C,,Bool,
1203,1546,@p:ubcv:r:236c8a1d-d7e1eb13 Pharmacy Elec Submeters LEED-6N6LC1 6N6LC1_Demand,Pharmacy Utilities,Pharmacy Elec Submeters LEED-6N6LC1,@p:ubcv:r:20545206-9300bfc5 Pharmacy,Demand,6N6LC1_Demand,W,Number,
1204,1548,@p:ubcv:r:236c8fec-bdd8af88 Pharmacy CRAH System CRAH-5 CRAH5_CHG_FIL_AL_BV,Pharmacy Hydronic Systems,Pharmacy CRAH System CRAH-5,@p:ubcv:r:20545206-9300bfc5 Pharmacy,Alarm,CRAH5_CHG_FIL_AL_BV,,Bool,
1205,1550,@p:ubcv:r:236c8a1d-aae8d07c Pharmacy Elec Submeters LEED-ATS-S3 ATS-S3_EnergyPosSumNR,Pharmacy Utilities,Pharmacy Elec Submeters LEED-ATS-S3,@p:ubcv:r:20545206-9300bfc5 Pharmacy,ATS-S3_EnergyPosSumNR,ATS-S3_EnergyPosSumNR,kWh,Number,
1206,1551,@p:ubcv:r:236c89f0-4235b121 Pharmacy Rm 4312 EAV-4E023 4E023_VLV_FLOW_FDBK_AV,Pharmacy Floor 4,Pharmacy Rm 4312 EAV-4E023,@p:ubcv:r:20545206-9300bfc5 Pharmacy,Exhaust Air Flow,4E023_VLV_FLOW_FDBK_AV,L/s,Number,
1207,1552,@p:ubcv:r:2391c23b-f380f964 Pharmacy Rm 2340 VAV-2S027 VAV_2S027_CO2,Pharmacy Floor 2,Pharmacy Rm 2340 VAV-2S027,@p:ubcv:r:20545206-9300bfc5 Pharmacy,Zone Co2,VAV_2S027_CO2,ppm,Number,
1208,1553,@p:ubcv:r:2391cb20-35baf569 Pharmacy Rm 6524 RAD-6-06 RZ6_06_SLAB_T2,Pharmacy Floor 6,Pharmacy Rm 6524 RAD-6-06,@p:ubcv:r:20545206-9300bfc5 Pharmacy,Zone Temp,RZ6_06_SLAB_T2,°C,Number,
1209,1554,@p:ubcv:r:236c8a1d-dbd75e7a Pharmacy Elec Submeters LEED-S2 S2_Voltage_A_N,Pharmacy Utilities,Pharmacy Elec Submeters LEED-S2,@p:ubcv:r:20545206-9300bfc5 Pharmacy,Voltage A,S2_Voltage_A_N,V,Number,
1210,1556,@p:ubcv:r:20d5d06d-3d73973e Pharmacy AHU-06 SF AHU6_SPD_FB,Pharmacy Air Systems,Pharmacy AHU-06 SF,@p:ubcv:r:20545206-9300bfc5 Pharmacy,Discharge Fan Speed Feedback,AHU6_SPD_FB,%,Number,
1211,1557,@p:ubcv:r:236c8a09-c2c6bee3 Pharmacy Unsorted Points CHRLR3_S,Pharmacy Unsorted Points,Pharmacy Unsorted Points,@p:ubcv:r:20545206-9300bfc5 Pharmacy,CHRLR3_S,CHRLR3_S,,Bool,
1212,1558,@p:ubcv:r:236c89db-31512d36 Pharmacy Rm B506 EAV-BS038 BS038_ROOM_RH,Pharmacy Floor 0,Pharmacy Rm B506 EAV-BS038,@p:ubcv:r:20545206-9300bfc5 Pharmacy,Zone Humidity,BS038_ROOM_RH,%RH,Number,
1213,1563,@p:ubcv:r:236c8ae7-deda7524 Pharmacy AHU-10 AHU10_HILIM_IN,Pharmacy Air Systems,Pharmacy AHU-10,@p:ubcv:r:20545206-9300bfc5 Pharmacy,AHU10_HILIM_IN,AHU10_HILIM_IN,,Bool,
1214,1564,@p:ubcv:r:226cf1ea-860baf5e Pharmacy Cooling Plant CHWP_P7AB_DP,Pharmacy Hydronic Systems,Pharmacy Cooling Plant,@p:ubcv:r:20545206-9300bfc5 Pharmacy,CHWP_P7AB_DP,CHWP_P7AB_DP,kPa,Number,
1215,1566,@p:ubcv:r:236c89e7-10290655 Pharmacy Rm B606b EAV-BS044 BS044_EME_MODE1_BV,Pharmacy Floor 0,Pharmacy Rm B606b EAV-BS044,@p:ubcv:r:20545206-9300bfc5 Pharmacy,BS044_EME_MODE1_BV,BS044_EME_MODE1_BV,,Bool,
1216,1568,@p:ubcv:r:236c8a6b-0b495121 Pharmacy LEF-1 EF-1A EF1_F1_VFD_PWR(AT)_DAILY,Pharmacy Air Systems,Pharmacy LEF-1 EF-1A,@p:ubcv:r:20545206-9300bfc5 Pharmacy,EF1_F1_VFD_PWR(AT)_DAILY,EF1_F1_VFD_PWR(AT)_DAILY,_,Number,
1217,1569,@p:ubcv:r:2391c6e0-31a9925a Pharmacy Rm 3506 RAD-3-03 RZ3_03_HWRT_HILIM_SP,Pharmacy Floor 3,Pharmacy Rm 3506 RAD-3-03,@p:ubcv:r:20545206-9300bfc5 Pharmacy,Entering Hot Water Temp Max Sp,RZ3_03_HWRT_HILIM_SP,°C,Number,
1218,1571,@p:ubcv:r:236c8acc-c600ae6f Pharmacy Gas Submeters BLR-3 Gas Meter BLR3_GFLW_DAY,Pharmacy Utilities,Pharmacy Gas Submeters BLR-3 Gas Meter,@p:ubcv:r:20545206-9300bfc5 Pharmacy,BLR3_GFLW_DAY,BLR3_GFLW_DAY,m³,Number,
1219,1572,@p:ubcv:r:2391c6fb-b7a10b12 Pharmacy Rm 3516 RAD-3-05 RZ3_05_HWRT,Pharmacy Floor 3,Pharmacy Rm 3516 RAD-3-05,@p:ubcv:r:20545206-9300bfc5 Pharmacy,Entering Hot Water Temp,RZ3_05_HWRT,°C,Number,
1220,1573,@p:ubcv:r:2391bee2-84572824 Pharmacy Unsorted Points MISC_AL_B609,Pharmacy Unsorted Points,Pharmacy Unsorted Points,@p:ubcv:r:20545206-9300bfc5 Pharmacy,MISC_AL_B609,MISC_AL_B609,,Bool,
1221,1574,@p:ubcv:r:236c8a03-b64df1d7 Pharmacy Rm B503 EAV-BS048 BS048_JAM_ALARM_BV,Pharmacy Floor 0,Pharmacy Rm B503 EAV-BS048,@p:ubcv:r:20545206-9300bfc5 Pharmacy,Flow Alarm,BS048_JAM_ALARM_BV,,Bool,
1222,1575,@p:ubcv:r:236c8a57-5149b306 Pharmacy Rm B503 EF-34 EF_34_VFD_PWR(kWh),Pharmacy Floor 0,Pharmacy Rm B503 EF-34,@p:ubcv:r:20545206-9300bfc5 Pharmacy,Energy,EF_34_VFD_PWR(kWh),kWh,Number,
1223,1576,@p:ubcv:r:2391bc85-4f429e26 Pharmacy Rm 3208 VAV-3S049 VAV_3S049_CO2_SP,Pharmacy Floor 3,Pharmacy Rm 3208 VAV-3S049,@p:ubcv:r:20545206-9300bfc5 Pharmacy,Zone Co2 Sp,VAV_3S049_CO2_SP,ppm,Number,
1224,1577,@p:ubcv:r:236c89f7-8dc2ff38 Pharmacy Rm 5302d VAV-5S060 5S060_EXH_JAM_ALARM_BV,Pharmacy Floor 5,Pharmacy Rm 5302d VAV-5S060,@p:ubcv:r:20545206-9300bfc5 Pharmacy,Exhaust Air Flow Alarm,5S060_EXH_JAM_ALARM_BV,,Bool,
1225,1578,@p:ubcv:r:236c8fec-8cc3c290 Pharmacy CRAH System CRAH-3 CRAH3_CTRL_MV,Pharmacy Hydronic Systems,Pharmacy CRAH System CRAH-3,@p:ubcv:r:20545206-9300bfc5 Pharmacy,CRAH3_CTRL_MV,CRAH3_CTRL_MV,,Str,
1226,1579,@p:ubcv:r:236c8ebd-1e5fdecf Pharmacy Rm 3103 VAV-3S027 VAV_3S027_RT_AV,Pharmacy Floor 3,Pharmacy Rm 3103 VAV-3S027,@p:ubcv:r:20545206-9300bfc5 Pharmacy,Zone Temp,VAV_3S027_RT_AV,°C,Number,
1227,1580,@p:ubcv:r:236c89db-42287bdf Pharmacy Rm B306 EAV-BS092 BS092_EXH_VLV_FLW_FB,Pharmacy Floor 0,Pharmacy Rm B306 EAV-BS092,@p:ubcv:r:20545206-9300bfc5 Pharmacy,Exhaust Air Flow,BS092_EXH_VLV_FLW_FB,L/s,Number,
1228,1581,@p:ubcv:r:236c89e6-bc06bea2 Pharmacy Rm B070 EAV-BS088 BS088_AVG_ROOM_RT,Pharmacy Floor 0,Pharmacy Rm B070 EAV-BS088,@p:ubcv:r:20545206-9300bfc5 Pharmacy,Zone Temp,BS088_AVG_ROOM_RT,°C,Number,
1229,1582,@p:ubcv:r:236c8acc-fe44358f Pharmacy Unsorted Points DHW60_SWT_HILIMIT_SP,Pharmacy Unsorted Points,Pharmacy Unsorted Points,@p:ubcv:r:20545206-9300bfc5 Pharmacy,DHW60_SWT_HILIMIT_SP,DHW60_SWT_HILIMIT_SP,°C,Number,
1230,1583,@p:ubcv:r:236c8e81-387e736f Pharmacy Rm 3102 VAV-3S031 VAV_3S031_CO2-1,Pharmacy Floor 3,Pharmacy Rm 3102 VAV-3S031,@p:ubcv:r:20545206-9300bfc5 Pharmacy,Zone Co2,VAV_3S031_CO2-1,ppm,Number,
1231,1584,@p:ubcv:r:236c9050-d16aab82 Pharmacy AHU-20 SF AHU20_SPD,Pharmacy Air Systems,Pharmacy AHU-20 SF,@p:ubcv:r:20545206-9300bfc5 Pharmacy,Discharge Fan Speed Cmd,AHU20_SPD,%,Number,
1232,1585,@p:ubcv:r:2391c87b-37e41410 Pharmacy Rm 4327 VAV-4S053 VAV_4S053_HCV,Pharmacy Floor 4,Pharmacy Rm 4327 VAV-4S053,@p:ubcv:r:20545206-9300bfc5 Pharmacy,Heating Valve Cmd,VAV_4S053_HCV,%,Number,
1233,1586,@p:ubcv:r:236c8fd4-6593a77e Pharmacy AHU-03 SF AHU3_SPD,Pharmacy Air Systems,Pharmacy AHU-03 SF,@p:ubcv:r:20545206-9300bfc5 Pharmacy,Discharge Fan Speed Cmd,AHU3_SPD,%,Number,
1234,1587,@p:ubcv:r:236c89f0-1cf9d0b8 Pharmacy Rm 4311 EAV-4E040 4E040_VLV_FLOW_FDBK_HILIM_SP,Pharmacy Floor 4,Pharmacy Rm 4311 EAV-4E040,@p:ubcv:r:20545206-9300bfc5 Pharmacy,Exhaust Air Flow High Lim Sp,4E040_VLV_FLOW_FDBK_HILIM_SP,L/s,Number,
1235,1589,@p:ubcv:r:236c8fec-9f9b669a Pharmacy CRAH System CRAH-6 CRAH6_CHWV_POS,Pharmacy Hydronic Systems,Pharmacy CRAH System CRAH-6,@p:ubcv:r:20545206-9300bfc5 Pharmacy,CRAH6_CHWV_POS,CRAH6_CHWV_POS,%,Number,
1236,1591,@p:ubcv:r:236c9052-d8486f89 Pharmacy Unsorted Points PHARM_RM1101_WIFI_OCC,Pharmacy Unsorted Points,Pharmacy Unsorted Points,@p:ubcv:r:20545206-9300bfc5 Pharmacy,Occupancy Sensor,PHARM_RM1101_WIFI_OCC,_,Number,
1237,1592,@p:ubcv:r:236c8a84-3dd405f2 Pharmacy Unsorted Points BP_PCT_SETPOINT,Pharmacy Unsorted Points,Pharmacy Unsorted Points,@p:ubcv:r:20545206-9300bfc5 Pharmacy,BP_PCT_SETPOINT,BP_PCT_SETPOINT,%,Number,
1238,1593,@p:ubcv:r:236c8ecf-8d41e7c7 Pharmacy Rm 3103a VAV-3S028 VAV_3S028_RT_SP,Pharmacy Floor 3,Pharmacy Rm 3103a VAV-3S028,@p:ubcv:r:20545206-9300bfc5 Pharmacy,Zone Temp Effective Sp,VAV_3S028_RT_SP,°C,Number,
1239,1594,@p:ubcv:r:236c89db-2f797e66 Pharmacy Rm B606b EAV-BS044 BS044_SUP_VLV_FLW_FB,Pharmacy Floor 0,Pharmacy Rm B606b EAV-BS044,@p:ubcv:r:20545206-9300bfc5 Pharmacy,Discharge Air Flow,BS044_SUP_VLV_FLW_FB,L/s,Number,
1240,1595,@p:ubcv:r:236c89f1-cf43497b Pharmacy Unsorted Points AHU16~17_LAB_AVG_RT_GV,Pharmacy Unsorted Points,Pharmacy Unsorted Points,@p:ubcv:r:20545206-9300bfc5 Pharmacy,Zone Temp,AHU16~17_LAB_AVG_RT_GV,°C,Number,
1241,1596,@p:ubcv:r:236c8a4c-39e7bfe4 Pharmacy Rm B216 EAV-BS045 BS045_SUP_JAM_AL_BV,Pharmacy Floor 0,Pharmacy Rm B216 EAV-BS045,@p:ubcv:r:20545206-9300bfc5 Pharmacy,Alarm,BS045_SUP_JAM_AL_BV,,Bool,
1242,1597,@p:ubcv:r:236c8fec-c05e4d21 Pharmacy CRAH System CRAH-6 CRAH6_HI_RT_AL_BV,Pharmacy Hydronic Systems,Pharmacy CRAH System CRAH-6,@p:ubcv:r:20545206-9300bfc5 Pharmacy,Alarm,CRAH6_HI_RT_AL_BV,,Bool,
1243,1598,@p:ubcv:r:236c8a4c-2c2fa018 Pharmacy Rm B217 EAV-BS027 BS027_EXH_JAM_AL_BV,Pharmacy Floor 0,Pharmacy Rm B217 EAV-BS027,@p:ubcv:r:20545206-9300bfc5 Pharmacy,Alarm,BS027_EXH_JAM_AL_BV,,Bool,
1244,1599,@p:ubcv:r:236c8a57-c6345258 Pharmacy Rm B605 EF-35 EF_35_VFD_INST_PWR(kW),Pharmacy Floor 0,Pharmacy Rm B605 EF-35,@p:ubcv:r:20545206-9300bfc5 Pharmacy,Power,EF_35_VFD_INST_PWR(kW),kW,Number,
1245,1601,@p:ubcv:r:236c8ae6-cc5e9c06 Pharmacy AHU-13 AHU13_SAT_CO_TL,Pharmacy Air Systems,Pharmacy AHU-13,@p:ubcv:r:20545206-9300bfc5 Pharmacy,AHU13_SAT_CO_TL,AHU13_SAT_CO_TL,_,Number,
1246,1603,@p:ubcv:r:236c8a88-a23f5a3d Pharmacy Heating Plant HX-2 P-HX2A HX2_PHX2A_AL,Pharmacy Hydronic Systems,Pharmacy Heating Plant HX-2 P-HX2A,@p:ubcv:r:20545206-9300bfc5 Pharmacy,Alarm,HX2_PHX2A_AL,,Bool,
1247,1604,@p:ubcv:r:226cf1e9-7a2c8832 Pharmacy Cooling Plant CHWP_SEC_CHWST,Pharmacy Hydronic Systems,Pharmacy Cooling Plant,@p:ubcv:r:20545206-9300bfc5 Pharmacy,Leaving Chilled Water Temp,CHWP_SEC_CHWST,°C,Number,
1248,1605,@p:ubcv:r:2391c7ff-639e8657 Pharmacy Rm 4317 VAV-4S056 VAV_4S056_HCV,Pharmacy Floor 4,Pharmacy Rm 4317 VAV-4S056,@p:ubcv:r:20545206-9300bfc5 Pharmacy,Heating Valve Cmd,VAV_4S056_HCV,%,Number,
1249,1606,@p:ubcv:r:236c8ab6-8b690e89 Pharmacy AHU-14 SF AHU14_SF_VFD_PWR(kWh),Pharmacy Air Systems,Pharmacy AHU-14 SF,@p:ubcv:r:20545206-9300bfc5 Pharmacy,Energy,AHU14_SF_VFD_PWR(kWh),kWh,Number,
1250,1607,@p:ubcv:r:236c8a6b-b86d361d Pharmacy AHU-17 SF AHU17_SF_VFD_PWR(kWh),Pharmacy Air Systems,Pharmacy AHU-17 SF,@p:ubcv:r:20545206-9300bfc5 Pharmacy,Energy,AHU17_SF_VFD_PWR(kWh),kWh,Number,
1251,1608,@p:ubcv:r:236c8fd4-819251f8 Pharmacy AHU-03 SF AHU3_SF_VFD_PWR(kWh),Pharmacy Air Systems,Pharmacy AHU-03 SF,@p:ubcv:r:20545206-9300bfc5 Pharmacy,Energy,AHU3_SF_VFD_PWR(kWh),kWh,Number,
1252,1609,@p:ubcv:r:2391c901-ea0d4a5b Pharmacy Rm 4621 RAD-4-08 RZ4_08_SLAB_T1,Pharmacy Floor 4,Pharmacy Rm 4621 RAD-4-08,@p:ubcv:r:20545206-9300bfc5 Pharmacy,Zone Temp,RZ4_08_SLAB_T1,°C,Number,
1253,1610,@p:ubcv:r:236c89db-f3f89bca Pharmacy Rm B407b EAV-BS061 BS061_SAT,Pharmacy Floor 0,Pharmacy Rm B407b EAV-BS061,@p:ubcv:r:20545206-9300bfc5 Pharmacy,Discharge Air Temp,BS061_SAT,°C,Number,
1254,1611,@p:ubcv:r:236c8ab6-70b8cf35 Pharmacy Rm 5206B EF-23 EF_23_VFD_INST_PWR(kW),Pharmacy Floor 5,Pharmacy Rm 5206B EF-23,@p:ubcv:r:20545206-9300bfc5 Pharmacy,Power,EF_23_VFD_INST_PWR(kW),kW,Number,
1255,1612,@p:ubcv:r:2391ca4a-9a8ebe8d Pharmacy Rm 5527 RAD-5-06 RZ5_06_SLAB_T2,Pharmacy Floor 5,Pharmacy Rm 5527 RAD-5-06,@p:ubcv:r:20545206-9300bfc5 Pharmacy,Zone Temp,RZ5_06_SLAB_T2,°C,Number,
1256,1613,@p:ubcv:r:2391cac3-d6bd5435 Pharmacy Rm 6603 RAD-6-12 RZ6_12_SLAB_SP,Pharmacy Floor 6,Pharmacy Rm 6603 RAD-6-12,@p:ubcv:r:20545206-9300bfc5 Pharmacy,Zone Temp Sp,RZ6_12_SLAB_SP,°C,Number,
1257,1615,@p:ubcv:r:236c89e6-00d2e78c Pharmacy Rm B604b EAV-BS041 BS041_EXH_OVRD_AV,Pharmacy Floor 0,Pharmacy Rm B604b EAV-BS041,@p:ubcv:r:20545206-9300bfc5 Pharmacy,BS041_EXH_OVRD_AV,BS041_EXH_OVRD_AV,%,Number,
1258,1616,@p:ubcv:r:2391bbe9-ab13108a Pharmacy Rm 3210b FC-306 FCU_306_NSB_CLG_BV,Pharmacy Floor 3,Pharmacy Rm 3210b FC-306,@p:ubcv:r:20545206-9300bfc5 Pharmacy,FCU_306_NSB_CLG_BV,FCU_306_NSB_CLG_BV,,Bool,
1259,1617,@p:ubcv:r:236c8a99-21450a3e Pharmacy AHU-07 AHU7_SAH,Pharmacy Air Systems,Pharmacy AHU-07,@p:ubcv:r:20545206-9300bfc5 Pharmacy,Discharge Air Humidity,AHU7_SAH,%RH,Number,
1260,1618,@p:ubcv:r:236c8fd5-427cd887 Pharmacy AHU-05 SF AHU5_SPD_FB,Pharmacy Air Systems,Pharmacy AHU-05 SF,@p:ubcv:r:20545206-9300bfc5 Pharmacy,Discharge Fan Speed Feedback,AHU5_SPD_FB,%,Number,
1261,1620,@p:ubcv:r:236c89f7-f4d0cdc9 Pharmacy Rm 4211a VAV-4S009 4S009_4E008_EXH_JAM_ALARM_BV,Pharmacy Floor 4,Pharmacy Rm 4211a VAV-4S009,@p:ubcv:r:20545206-9300bfc5 Pharmacy,Exhaust Air Flow Alarm,4S009_4E008_EXH_JAM_ALARM_BV,,Bool,
1262,1622,@p:ubcv:r:236c89f9-c2db7c20 Pharmacy Rm 6204 VAV-6S022 6S022_SUP_JAM_ALARM_BV,Pharmacy Floor 6,Pharmacy Rm 6204 VAV-6S022,@p:ubcv:r:20545206-9300bfc5 Pharmacy,Discharge Air Flow Alarm,6S022_SUP_JAM_ALARM_BV,,Bool,
1263,1623,@p:ubcv:r:236c8fec-0350de61 Pharmacy CRAH System CRAH-2 CRAH2_RT,Pharmacy Hydronic Systems,Pharmacy CRAH System CRAH-2,@p:ubcv:r:20545206-9300bfc5 Pharmacy,Zone Temp,CRAH2_RT,°C,Number,
